lemma_key	status	token_count	text_count	text_counts	lemma_hints	zazaki_variants	lerch_variants	context_gloss_hints	glossary_entries	glossary_match_sources	example_ref	example_token_zazaki	example_token_lerch	example_line_zazaki	example_line_lerch
tau	glossary_match	9	4	kauge-nyerib-u-hyeni:4; uc-kardes-masali:3; goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-sivani:1	tau	çaw	t̮au; t̮au?	no one	tau	lemma	goin-puhu-kusunun-hikayesi:g02_l05:0	çaw	t̮au?	çaw? Cenyêkê kêynêkra vana kê: bêray twê şyû kêy 'halanê xoê.	t̮au? D̮é̱ńeke keínekra vā́na ke: beraí túe šyu kei h̔ā́lāne χóe.
te	glossary_match	53	7	uc-kardes-masali:18; kauge-nyerib-u-sivani:10; kauge-nyerib-u-hyeni:8; ali-agha-ladi-kelhani:6; gespraech-mit-hassan:5; degirmenci-ve-tilki:3; goin-puhu-kusunun-hikayesi:3	te	tê; tedê; çê; te	te; té̱de; té̱de; t̮e; te̱-; te,	you; it; LOC; why; 2SG.POSS	tü; tu	lemma	ali-agha-ladi-kelhani:a02_l06:5	çê	t̮e	erşawûtê dawana va kê: şıma çê vênerti? ma şyêri Ali ağay bıkşi.	e̱ršau’úte dauwā́na vā ke: ší̥ma t̮e vené̱rti? mā šyẹ̄́ri Áli aγaí bi̥kši.
teher	glossary_match	18	4	ali-agha-ladi-kelhani:11; kauge-nyerib-u-hyeni:3; gespraech-mit-hassan:2; uc-kardes-masali:2	teher	çêhêr	t̮ehér; t̮ehér	four	tehtir	lemma	ali-agha-ladi-kelhani:a01_l02:5	çêhêr	t̮ehér	Ali ağay Narbyêş. Ali ağa çêhêr dawang da pyêrû, hiris û çêhêr	Áli aγaí Nārbyẹ̄́š. Áli aγá t̮ehér daú’āṅ dā pyérū, híris u t̮ehér
teki	glossary_match	4	2	ali-agha-ladi-kelhani:2; kauge-nyerib-u-hyeni:2	teki	çêki; çeki	t̮éki; t̮é̱ki	weapons; weapon	tek	lemma	ali-agha-ladi-kelhani:a02_l14:3	çêki	t̮éki	wênd. Ali ağay çêki xoê çêhêr hemê lacana xoê aryê kerdi, day Qasim	wend. Áli aγaí t̮éki χóe t̮ehér hé̱me lad̮ā́na χóe ā́rye ké̱rdi, dai Qasím
terek	glossary_match	2	2	kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1	terek	terêk; Têrêk	té̱rek; Térek	feud	terek	lemma	kauge-nyerib-u-hyeni:h09_l10:9	terêk	té̱rek	beg yaw rez da Xalef ağayra, pya bi weşi, terêk na.	be̱g yau re̱z dā Χalé̱f aγáira, pyā bi wé̱ši, té̱rek nā.
ti	glossary_match	27	7	uc-kardes-masali:8; degirmenci-ve-tilki:5; goin-puhu-kusunun-hikayesi:4; kauge-nyerib-u-hyeni:4; ali-agha-ladi-kelhani:3; kauge-nyerib-u-sivani:2; gespraech-mit-hassan:1	ti	tı; çi; çı; Tı; Çi	ti̥; t̮i; t̮í; t̮i̥; Ti̥; T̮í; tí̥	you; thing; what; nothing	tu	lemma	ali-agha-ladi-kelhani:a01_l03:4	çi	t̮i	kişti. Çawdi Ali ağay çi nyêbê, çewi desti Ali ağay nyêgêrawt. Ali	kíšti. T̮aúdi Áli aγaí t̮i ńébe, t̮é̱wi dé̱sti Áli aγaí ńegeraút. Áli
tia	glossary_match	1	1	degirmenci-ve-tilki:1	tia	tya	tía,	here	h&tia; tia	lemma	degirmenci-ve-tilki:mf03_l09:1	tya	tía,	byêrû tya, ez twêri 'haberê ana.	byẹ̄́ru tía, e̱z túeri h̔abé̱re āna.
tikarei	glossary_match	1	1	uc-kardes-masali:1	tikarei	çikarêy	t̮ikareí,	what are you doing?	tikarei	lemma	uc-kardes-masali:tb02_l07:2	çikarêy	t̮ikareí,	ma çi çikarêy, şûma namêy mê nêşnaûtû, ez kê êsta ez daw, ez	ma t̮í t̮ikareí, šúma nameí me nešna’útu, e̱z ke está e̱z dau, e̱z
tinau	glossary_match	3	1	gespraech-mit-hassan:3	tinau	çinaw	t̮ínau?	what is	tinau	lemma	gespraech-mit-hassan:h01_l03:3	çinaw	t̮ínau?	Namêy aşirêta tê çinaw?	Nāmeí ašíreta te t̮ínau?
tiri	glossary_match	1	1	kauge-nyerib-u-hyeni:1	tiri	çiri	t̮íri	from me	tiri	lemma	kauge-nyerib-u-hyeni:h03_l06:4	çiri	t̮íri	pil Xalef ağayri: twê çiri enoê merdümi mê kiştû, waxtê xoêdê	pil Χalé̱f aγáiri: túe t̮íri ḗ̱n’oe me̱rdṳ́mi me kíštu, wáχte χóede
to	glossary_match	1	1	kauge-nyerib-u-sivani:1	to	twê	túe	2SG.OBL	tö	lemma	kauge-nyerib-u-sivani:s01_l10:2	twê	túe	bıkêra, bêra twê ez dyang, lakimkê ez ha bêna, zor bêna. Laci	bi̥kéra, berá túe e̱z diā́ṅ, lakímke e̱z hā bén’a, zōr bén’a. Lā́d̮i
top	glossary_match	2	2	kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1	top	top	top	gathered	top kerd	lemma	kauge-nyerib-u-hyeni:h04_l05:5	top	top	Daqma begi eskêri xoê hemê top kêrd, eskêr pyêrû kêrand	Dáqma bé̱gi e̱skéri χóe hé̱me top kerd, e̱skér pyéru keránd
tra	glossary_match	6	1	uc-kardes-masali:6	tra	tra	trā	from	tra ken’a	lemma	uc-kardes-masali:tb04_l09:5	tra	trā	şwêna, ena gêlankê serêy min tra kêna, twêri kêna pilaw ver,	šuen’a, ḗ̱n’a gelānke sé̱rei min trā kén’a, túeri ken’a pilaú ve̱r,
tu	glossary_match	9	6	gespraech-mit-hassan:3; ali-agha-ladi-kelhani:2; degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	tu	tû; twêra; Tû	tu; túera; Tu	you; 2SG.OBL; RECIP	tü; tu	lemma	ali-agha-ladi-kelhani:a02_l10:12	twêra	túera	Qasim ağa şi Ali ağay hetê ronişt va kê: ağa, ez ama twêra ric	Qasím aγá ši Áli aγaí hé̱te rōníšt vā ke: aγá, e̱z amá túera rīd̮
tue	glossary_match	77	7	kauge-nyerib-u-hyeni:18; uc-kardes-masali:17; kauge-nyerib-u-sivani:16; goin-puhu-kusunun-hikayesi:11; degirmenci-ve-tilki:8; ali-agha-ladi-kelhani:4; gespraech-mit-hassan:3	tue	twê; twêri; twêra; çwê; tüyêra; twe	túe; túe; túeri; túera; túe,; túe.; túeri; túe,	your; 2SG.OBL; GOAL/RECIP; ABL/RECIP; you; 2SG.POSS/your; LOC/REL	tü; tu	lemma	ali-agha-ladi-kelhani:a02_l13:9	twê	túe.	ağa va kê: tê xaini, ez çêkani xoê nyêdana twê. Qasim ağay swend	aγá vā ke: te χa’íni, e̱z t̮ékāni χóe ńédāna túe. Qasím aγaí sué̱nd
u	glossary_match	24	7	ali-agha-ladi-kelhani:9; gespraech-mit-hassan:8; kauge-nyerib-u-hyeni:3; degirmenci-ve-tilki:1; goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	u	û	u	and	Sre’u; pures neydn’u; manün’u	lemma	ali-agha-ladi-kelhani:a01_l02:10	û	u	Ali ağay Narbyêş. Ali ağa çêhêr dawang da pyêrû, hiris û çêhêr	Áli aγaí Nārbyẹ̄́š. Áli aγá t̮ehér daú’āṅ dā pyérū, híris u t̮ehér
uda	glossary_match	1	1	uc-kardes-masali:1	uda	ûca	ud̮á	down	üda	lemma	uc-kardes-masali:tb06_l12:8	ûca	ud̮á	da dyewi. Dyaw nang gêrawt, xêrs bê, nang ûca rwêna, werişt şê	dā d́é̱wi. D́au nāṅ geraút, χers be, nāṅ ud̮á ruén’a, we̱ríšt šẹ̄
ute	glossary_match	1	1	kauge-nyerib-u-sivani:1	ute	ûtê	úte	-sent	eräau’üte	lemma	kauge-nyerib-u-sivani:s02_l01:0	ûtê	úte	ûtê Avdûlah ağay Kêlang va kê: mê Nyêribdê kawğê kêrd, la-	úte Avdúl’ah aγaí Kelā́ṅ vā ke: me Ńeríbde kauγé kerd, la-
va	glossary_match	172	6	kauge-nyerib-u-hyeni:50; uc-kardes-masali:38; kauge-nyerib-u-sivani:30; degirmenci-ve-tilki:25; ali-agha-ladi-kelhani:17; goin-puhu-kusunun-hikayesi:12	va	va	vā; vā; vā:; vā:; va	said	va; va$	lemma	ali-agha-ladi-kelhani:a01_l07:6	va	vā	Karbêgani, 'Hasan ağa Weşini amêy pyêser va kê: ma şyêri kêy	Karbegā́ni, Hʿasán aγá We̱šíni āmeí pyesé̱r vā ke: mā šyẹ̄́ri kei
vada	glossary_match	3	3	degirmenci-ve-tilki:1; gespraech-mit-hassan:1; uc-kardes-masali:1	vada	vaca	vā́d̮a.; vā́d̮a,; vād̮a;	say; speak; to say	nesen’a väda; väda	lemma	degirmenci-ve-tilki:mf02_l12:6	vaca	vā́d̮a.	êfêndim: izmi mê bıdê, ez twêri vaca. Paşay Mısri izmi lûê da.	eféndim: ī́zmi me bi̥dé, e̱z túeri vā́d̮a. Pašaí Mi̥sri ī́zmi lú’e dā.
vaisturai	glossary_match	1	1	uc-kardes-masali:1	vaisturai	vaystûray	vaísturai	sickle	vaištüra	lemma	uc-kardes-masali:tb02_l14:1	vaystûray	vaísturai	tê vaystûray xoê bıdê mê, ez hêlyê ğalê çınêna, tê gamyê roşê,	te vaísturai χóe bí̥de me, e̱z hḗlye γalé t̮i̥nén’a, te gā́mye rṓše,
ve	glossary_match	2	2	ali-agha-ladi-kelhani:1; uc-kardes-masali:1	ve	ve	ve̱; ve̱-	touch; out	ve ken’a	lemma	ali-agha-ladi-kelhani:a03_l10:1	ve	ve̱	yênêra ve meki. Eskêri Qasim ağay bêr şêkit, Qasim ağay kawta	yénera ve̱ mé̱ki. E̱skéri Qasím aγaí ber šekít, Qasím aγaí kaúta
vedena	glossary_match	1	1	kauge-nyerib-u-hyeni:1	vedena	vecêna	ve̱d̮én’a.	I will gouge	veden'a	lemma	kauge-nyerib-u-hyeni:h07_l11:6	vecêna	ve̱d̮én’a.	kê: warzê, byê, ez çimani twê vecêna.	ké: wárze, bye, e̱z t̮imā́ni túe ve̱d̮én’a.
venert	glossary_match	5	3	uc-kardes-masali:3; ali-agha-ladi-kelhani:1; goin-puhu-kusunun-hikayesi:1	venert	vênert; venert	vené̱rt.; vené̱rt; ve̱né̱rt,; vené̱rt,	stood; stayed	venert	lemma	ali-agha-ladi-kelhani:a01_l04:11	vênert	vené̱rt	ağay kêyê xoê bar kêrd, şê Syêraçûrê. Hiris û şêş roci vênert	aγaí keíye χóe bār kerd, šẹ̄ Syérat̮ūre. Híris u šẹ̄š rṓd̮i vené̱rt
venerti	glossary_match	1	1	ali-agha-ladi-kelhani:1	venerti	vênerti	vené̱rti?	waiting	venert	lemma	ali-agha-ladi-kelhani:a02_l06:6	vênerti	vené̱rti?	erşawûtê dawana va kê: şıma çê vênerti? ma şyêri Ali ağay bıkşi.	e̱ršau’úte dauwā́na vā ke: ší̥ma t̮e vené̱rti? mā šyẹ̄́ri Áli aγaí bi̥kši.
veng	glossary_match	4	2	ali-agha-ladi-kelhani:3; goin-puhu-kusunun-hikayesi:1	veng	veng	ve̱ṅg	Sound, Audio, Voice; sound	veng	lemma	ali-agha-ladi-kelhani:a03_l11:1	veng	ve̱ṅg	ver, veng da va kê A'hmêdira: warêza, ez amêya, tı kû sera	ve̱r, ve̱ṅg dā vā ke Ah̔médira: wáreza, e̱z ameíya, ti̥ ku sé̱ra
vengi	glossary_match	2	1	uc-kardes-masali:2	vengi	vengi	vḗ̱ngi; vé̱ṅgi	voice	veng	lemma	uc-kardes-masali:tb02_l05:8	vengi	vḗ̱ngi	şüma qawi enoê ğalê mê çınêni, şüma çaw vengi xoê mekiri,	šṳ́ma qaúwi ḗ̱n’oe γalé me t̮i̥nén’i, šṳ́ma t̮au vḗ̱ngi χóe mé̱kiri,
ver	glossary_match	33	6	uc-kardes-masali:14; kauge-nyerib-u-sivani:8; kauge-nyerib-u-hyeni:5; ali-agha-ladi-kelhani:2; degirmenci-ve-tilki:2; goin-puhu-kusunun-hikayesi:2	ver	ver; vêr; verdê	ve̱r; ve̱r,; ver,; ver; vé̱rde	front; front of; LOC	ver; ver ken’a; veri	lemma	ali-agha-ladi-kelhani:a02_l08:10	vêr	ver,	Qasim ağa 'hêt. Qasim ağa werişt bê aspar, kawta eskêri vêr,	Qasím aγá h̔ēt. Qasím aγá we̱ríšt be aspā́r, kaúta e̱skéri ver,
vera	glossary_match	8	5	degirmenci-ve-tilki:3; kauge-nyerib-u-sivani:2; ali-agha-ladi-kelhani:1; kauge-nyerib-u-hyeni:1; uc-kardes-masali:1	vera	vera; vêra	ve̱rā́; véra; vé̱ra; vé̱ra,; ve̱rá	for; out	vera; vera ddna	lemma	ali-agha-ladi-kelhani:a04_l01:10	vera	vé̱ra,	xoê berd zerêy şibakê, yaw xancêri zerêy şıbakêdê di gêrawtê vera,	χóe be̱rd ze̱reí šibāke, yau χand̮éri ze̱reí ši̥bā́kede dī geraúte vé̱ra,
veri	glossary_match	4	4	ali-agha-ladi-kelhani:1; kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	veri	veri; Veri	Vé̱ri; vé̱ri; vé̱ri	first	veri; ver; ver ken’a	lemma	ali-agha-ladi-kelhani:a03_l13:6	veri	vé̱ri	Alah izmê mê bıdû, ez twê veri êyxoê kışêna. 'Hal şi kê A'hmêdi	Aláh ī́zme me bi̥dú, e̱z túe vé̱ri eiχóe ki̥šén’a. Hʿāl ši ke Ah̔médi
wa	glossary_match	16	4	uc-kardes-masali:6; degirmenci-ve-tilki:5; kauge-nyerib-u-hyeni:4; ali-agha-ladi-kelhani:1	wa	wa	wa; wā; wa-	let	wa	lemma	ali-agha-ladi-kelhani:a01_l09:7	wa	wa	şawê venga êskêrê xoê di, eskêri dawang wa pyêrû bêrû pyêser,	šaú’e vé̱ṅga eskére χóe di, e̱skéri daú’āṅ wa pyéru béru pyesé̱r,
wade	glossary_match	4	3	degirmenci-ve-tilki:2; ali-agha-ladi-kelhani:1; gespraech-mit-hassan:1	wade	wade; wadedê	wadé̱; wáde̱de.	room; bed; LOC	wade	lemma	ali-agha-ladi-kelhani:a04_l08:5	wadedê	wáde̱de.	hêyşt merdümi ğaribana pyêrû mêndi wadedê. Soba Mêlay Rêsa	heišt me̱rdṳ́mi γaribā́na pyéru méndi wáde̱de. So̤bá Mél’ai Resá
wadei	glossary_match	2	2	ali-agha-ladi-kelhani:1; gespraech-mit-hassan:1	wadei	wadey; wadêy	wade̱i; wadeí	house; rooms	wade	lemma	ali-agha-ladi-kelhani:a02_l05:2	wadey	wade̱i	berdi, kêrdi wadey Mê'hmêdi 'Hêndani. Qasim ağay şawê 'habêrê	bé̱rdi, kérdi wade̱i Meh̔médi Hʿendā́ni. Qasím aγaí šaú’e h̔abére
wai	glossary_match	2	1	goin-puhu-kusunun-hikayesi:2	wai	way; Way	wai; Wai	sister	wai	lemma	goin-puhu-kusunun-hikayesi:g03_l06:8	way	wai	xoêra va kê: twê qawi laci mê kiştû, way cêy bi şewi 'hawni xoê-	χóera vā ke: túe qaúwi lā́d̮i me kíštu, wai d̮ei bi še̱wi h̔aúni χóe-
war	glossary_match	3	2	gespraech-mit-hassan:2; degirmenci-ve-tilki:1	war	war	war,; wār?; wār.	down	war	lemma	degirmenci-ve-tilki:mf04_l08:7	war	war,	paşa berd kûnaği paşay Mısri, fintoêra amêy war, lwê desti yê te-	pašá be̱rd kunáγi pašaí Mí̥sri, fintṓera āmeí war, lúe dé̱sti ye te̱-
wareza	glossary_match	2	1	ali-agha-ladi-kelhani:2	wareza	warêza	wáreza,	nephew	warezä	lemma	ali-agha-ladi-kelhani:a03_l04:6	warêza	wáreza,	sêna. Qasim ağa va kê A'hmêdira: warêza, metêrsê. A'hmêdi va	sén’a. Qasím aγā́ vā ke Ah̔médira: wáreza, mé̱terse. Ah̔médi vā
warze	glossary_match	5	3	degirmenci-ve-tilki:3; kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1	warze	warzê	wárze,; wárze	get up; rise	warzdn’a	lemma	degirmenci-ve-tilki:mf03_l12:3	warzê	wárze,	şadê Mısri wayştê, warzê, şwê 'hemam, xoê bışû, temiz kê, byê,	šáde Mi̥sri waíšte, wárze, šúe h̔é̱m’ām, χóe bi̥šú, te̱míz ke, bye,
wend	glossary_match	7	3	uc-kardes-masali:5; ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1	wend	wengd; wênd; wend; wêngd	we̱ṅd,; wend.; we̱nd,; weṅd	read; swore	wend	lemma	ali-agha-ladi-kelhani:a02_l14:0	wênd	wend.	wênd. Ali ağay çêki xoê çêhêr hemê lacana xoê aryê kerdi, day Qasim	wend. Áli aγaí t̮éki χóe t̮ehér hé̱me lad̮ā́na χóe ā́rye ké̱rdi, dai Qasím
werand	glossary_match	1	1	kauge-nyerib-u-hyeni:1	werand	werand	we̱rā́nd,	put	weränd	lemma	kauge-nyerib-u-hyeni:h02_l01:9	werand	we̱rā́nd,	xoê gêrawti tırsi xoê kêrd, xo dest şımşyêri xoê werand, şê merdümi	χóe geraúti ti̥rsi χóe kerd, χo de̱st ši̥mšyẹ̄́ri χóe we̱rā́nd, šẹ̄ me̱rdṳ́mi
werist	glossary_match	27	6	uc-kardes-masali:7; ali-agha-ladi-kelhani:5; degirmenci-ve-tilki:5; kauge-nyerib-u-hyeni:5; kauge-nyerib-u-sivani:4; goin-puhu-kusunun-hikayesi:1	werist	werişt; werişti; werışt	we̱ríšt; we̱ríšt,; we̱ríšt; we̱ríšt,; we̱ríšti,; we̱rí̥št,	got up; set out; mounted; arose; rose	weriät; warzdn’a	lemma	ali-agha-ladi-kelhani:a02_l07:5	werişti	we̱ríšti,	Dewi pyêrû amêy pyêsêr, şawê werişti, çêhêr sêy eskêr vıcyay, amêy	Dé̱wi pyéru āmeí pyesér, šaú’e we̱ríšti, t̮ehér sei e̱skér vi̥d̮iai, āmeí
weristi	glossary_match	3	2	uc-kardes-masali:2; kauge-nyerib-u-hyeni:1	weristi	werişti; weristi	we̱ríšti,; we̱rísti; we̱ríšti,	got up; rose	weriät; warzdn’a	lemma	kauge-nyerib-u-hyeni:h09_l06:11	werişti	we̱ríšti,	Xalef ağay daw pyêrû byêri, ma pya weşı ki. Ağay Zıriki werişti,	Χalé̱f aγái dau pyéru byẹ̄́ri, mā pyā wé̱ši̥ ki. Aγái Zí̥riki we̱ríšti,
xoe	glossary_match	112	6	uc-kardes-masali:31; kauge-nyerib-u-hyeni:28; goin-puhu-kusunun-hikayesi:18; kauge-nyerib-u-sivani:18; ali-agha-ladi-kelhani:10; degirmenci-ve-tilki:7	xoe	xoê; xoêri; xoêra; xoêdê; xora	χóe; χóe; χóeri; χóera; χóede; χóera:; χóede; χóe.	own; self/own; REFL/OBL; REFL/RECIP; LOC/TEMP; RECIP/GOAL	ez	lemma	ali-agha-ladi-kelhani:a01_l04:2	xoê	χóe	ağay kêyê xoê bar kêrd, şê Syêraçûrê. Hiris û şêş roci vênert	aγaí keíye χóe bār kerd, šẹ̄ Syérat̮ūre. Híris u šẹ̄š rṓd̮i vené̱rt
ya	glossary_match	2	2	goin-puhu-kusunun-hikayesi:1; uc-kardes-masali:1	ya	ya	ya	she	ya; ya rödi	lemma	goin-puhu-kusunun-hikayesi:g04_l08:8	ya	ya	dêsmaç gêrawt, dı rêkati nêmac kêrd, va kê: ya rabi, tı mê yaw	desmā́t̮ geraut, di̥ rekā́ti nemā́d̮ kerd, vā ke: ya rā́bi, ti̥ me yau
yau	glossary_match	58	7	uc-kardes-masali:20; degirmenci-ve-tilki:13; kauge-nyerib-u-hyeni:8; goin-puhu-kusunun-hikayesi:7; kauge-nyerib-u-sivani:6; ali-agha-ladi-kelhani:2; gespraech-mit-hassan:2	yau	yaw; Yaw	yau; Yau; [yau; yāu; yau.; yau,	one	yau	lemma	ali-agha-ladi-kelhani:a03_l14:5	yaw	yau	bıkşû. A'hmêd awnya dyêsi wedi, yaw şıbakê 'ha dyêsê wedidê, desti	bi̥kšú. Ah̔méd auńā́ d́ési we̱dí, yau ši̥bā́ke h̔ā d́ése wé̱dide, dé̱sti
ye	glossary_match	9	3	kauge-nyerib-u-hyeni:6; ali-agha-ladi-kelhani:2; degirmenci-ve-tilki:1	ye	yê; Yê; yênêra; yêra	ye; Ye; yénera; yéra	she; his; 3PL.OBL; STIM/OBJ; him; RECIP	ye	lemma	ali-agha-ladi-kelhani:a03_l10:0	yênêra	yénera	yênêra ve meki. Eskêri Qasim ağay bêr şêkit, Qasim ağay kawta	yénera ve̱ mé̱ki. E̱skéri Qasím aγaí ber šekít, Qasím aγaí kaúta
yena	glossary_match	10	4	goin-puhu-kusunun-hikayesi:3; kauge-nyerib-u-hyeni:3; kauge-nyerib-u-sivani:2; uc-kardes-masali:2	yena	yêna	yén’a; yén’a; yén’a,	I come	yen’a	lemma	goin-puhu-kusunun-hikayesi:g02_l03:7	yêna	yén’a,	Kêynêkê şwêna golikangdê; kêynêk rocêki yerêy golikana yêna,	Keíneke šuén’a gōlikā́ṅde; keínek rṓd̮eki yé̱rei gōlikā́na yén’a,
yeni	glossary_match	8	3	kauge-nyerib-u-hyeni:3; uc-kardes-masali:3; gespraech-mit-hassan:2	yeni	yêni	yéni:; yén’i; yén’i,; yén’i	come; his; we come	yen’a	lemma	gespraech-mit-hassan:h03_l06:3	yêni	yén’i	Şüma qam waxtê yêni war?	Šṳ́ma qām wáχte yén’i wār?
yenu	glossary_match	7	3	uc-kardes-masali:4; degirmenci-ve-tilki:2; kauge-nyerib-u-hyeni:1	yenu	yênû	yén’u,; yén’u.; yén’u	comes	amá; yen’a	lemma	degirmenci-ve-tilki:mf04_l13:4	yênû	yén’u,	lwêra: paşay Mısri nêkay yênû, serêy mê têra kênû. Lwê va kê:	lúera: pašaí Mí̥sri nekāí yén’u, sé̱rei me terá kén’u. Lúe vā ke:
yerei	glossary_match	3	1	goin-puhu-kusunun-hikayesi:3	yerei	yêrêy; yerêy	yérei; yé̱rei	afternoon	yere	lemma	goin-puhu-kusunun-hikayesi:g02_l03:5	yerêy	yé̱rei	Kêynêkê şwêna golikangdê; kêynêk rocêki yerêy golikana yêna,	Keíneke šuén’a gōlikā́ṅde; keínek rṓd̮eki yé̱rei gōlikā́na yén’a,
zeindan	glossary_match	10	2	goin-puhu-kusunun-hikayesi:6; uc-kardes-masali:4	zeindan	zêyndang; zêyndan; zêyndandê	zeindā́ṅ.; zeindā́ṅ,; zeindā́n.; zeindā́nde; zeindā́ṅ,	pit; prison; LOC	zeindän	lemma	goin-puhu-kusunun-hikayesi:g02_l07:1	zêyndang	zeindā́ṅ.	êyştû zêyndang. Sêbah wardêna, bawki xoêra vana: baw, mê em-	eíštu zeindā́ṅ. Sebáh wardén’a, bāúki χóera vā́na: bau, me é̱m-
zere	glossary_match	7	3	degirmenci-ve-tilki:3; uc-kardes-masali:3; ali-agha-ladi-kelhani:1	zere	zerê	zé̱re,; zé̱re,; zé̱re	inside	zere	lemma	ali-agha-ladi-kelhani:a03_l08:6	zerê	zé̱re,	ama tebêr, mevindi, bêr bışikni, şyêri zerê, Ali ağay çêhêr hemê	āmá te̱bér, mé̱vindi, ber bi̥šíkni, šyẹ̄́ri zé̱re, Áli aγaí t̮ehér hé̱me
zerei	glossary_match	5	3	ali-agha-ladi-kelhani:2; kauge-nyerib-u-hyeni:2; gespraech-mit-hassan:1	zerei	zerêy	ze̱reí; ze̱réi	inside; into; behind; heart	zere	lemma	ali-agha-ladi-kelhani:a04_l01:2	zerêy	ze̱reí	xoê berd zerêy şibakê, yaw xancêri zerêy şıbakêdê di gêrawtê vera,	χóe be̱rd ze̱reí šibāke, yau χand̮éri ze̱reí ši̥bā́kede dī geraúte vé̱ra,
zimei	glossary_match	1	1	kauge-nyerib-u-hyeni:1	zimei	zımêy	zi̥meí	north	zime	lemma	kauge-nyerib-u-hyeni:h01_l03:1	zımêy	zi̥meí	amê zımêy 'Hyêni. Yaw merdüm 'Hyênêyic zımecê xoêri cit kêrdini.	āmé zi̥meí Hʿyẹ̄́ni. Yau me̱rdṳ́m Hʿyẹ̄́neyid̮ zi̥mé̱d̮e χóeri d̮it kerdíni.
zozan	glossary_match	5	1	gespraech-mit-hassan:5	zozan	zozang; zozangdê	zozā́ṅ?; zozā́ṅ.; zozā́ṅde	summer pasture; pasture; LOC	zozän	lemma	gespraech-mit-hassan:h02_l16:2	zozang	zozā́ṅ?	Şüma şwêni zozang?	Šṳ́ma šuén’i zozā́ṅ?
zuan	glossary_match	1	1	uc-kardes-masali:1	zuan	zwang	zuā́ṅ	tongue	zuän	lemma	uc-kardes-masali:tb09_l04:3	zwang	zuā́ṅ	erû, serêy dyewidê zwang estû, kali kênû, twêra vanû yawnay pêro	é̱ru, sé̱rei d́é̱wide zuā́ṅ é̱stu, kā́li kén’u, túera vā́nu yaunaí péro̤
zuani	glossary_match	1	1	goin-puhu-kusunun-hikayesi:1	zuani	Zwani	Zuā́ni	tongue	zuän	lemma	goin-puhu-kusunun-hikayesi:g04_l01:10	Zwani	Zuā́ni	va kê cênira, kêynay kopeki, la qami kiştû ênoê lacêk? Zwani	vā ke d̮énira, keínai kōpé̱ki, la qā́mi kíštu ẹ̄́n’oe lā́d̮ek? Zuā́ni
abasa	low_frequency_unmatched	1	1	gespraech-mit-hassan:1	abasa	Abasa	Ábasa,	Abasa			gespraech-mit-hassan:h01_l11:2	Abasa	Ábasa,	Mıstang, Sayêrê, Abasa, Wis'hêyn, 'Haspêg, Sêraçyori, Akêragi,	Mí̥stāṅ, Sáyere, Ábasa, Wísh̔ein, Hʿaspéǵ, Serat̮yó̤ri, Akerā́gi,
afe	low_frequency_unmatched	1	1	uc-kardes-masali:1	afe	afê	ā́fe-	well done			uc-kardes-masali:tb02_l12:10	afê	ā́fe-	hêlbêt mari yaw 'hawlê kênû. Dewi va 'Hasanêkira: laci mê, afê-	helbét mā́ri yau h̔aúle ḱén’u. Dé̱wi va H̔asanékira: lād̮i me, ā́fe-
agale	low_frequency_unmatched	1	1	ali-agha-ladi-kelhani:1	agale	Ağalê	Aγale-	aghas-			ali-agha-ladi-kelhani:a02_l01:11	Ağalê	Aγale-	Weşini va kê: rınd bênû, ma şyêri Ali ağay byari bıkşi. Ağalê-	We̱šíni vā ke: ri̥nd bén’u, mā šyẹ̄́ri Áli aγaí biári bi̥kší. Aγale-
agaler	low_frequency_unmatched	1	1	kauge-nyerib-u-hyeni:1	agaler	ağalêr	aγalér,	aghas			kauge-nyerib-u-hyeni:h07_l13:10	ağalêr	aγalér,	pyêrû ame pyêser, Xalef ağa va kê eskêri xoêra: bawni, ağalêr,	pyéru āmé̱ pyesé̱r, Χalé̱f aγá vā ke e̱skéri χóera: baúni, aγalér,
agalerani	low_frequency_unmatched	1	1	ali-agha-ladi-kelhani:1	agalerani	ağalêrani	aγálerāni	the aghas			ali-agha-ladi-kelhani:a01_l06:5	ağalêrani	aγálerāni	Sivani amêy pyêser, mêşore kerd, ağalêrani Sivani, Qasim ağa	Sivā́ni āmeí pyesé̱r, méšore̱ ke̱rd, aγálerāni Sivā́ni, Qasím aγá
agalerem	low_frequency_unmatched	1	1	kauge-nyerib-u-hyeni:1	agalerem	ağalêrêm	aγālerem.	my aghas			kauge-nyerib-u-hyeni:h05_l01:3	ağalêrêm	aγālerem.	va kê: afêrêm, ağalêrêm. Xalef ağa kawt eskêri xoê ver, şi vecyay	vā ke: ā́ferem, aγālerem. Χalé̱f aγá kaut e̱skéri χóe ve̱r, ši ve̱d̮íai
