lemma_key	suggested_action	suggested_headword	suggested_gloss_en	suggested_gloss_tr	rationale	token_count	text_count	text_counts	lemma_hints	zazaki_variants	lerch_variants	context_gloss_hints	related_glossary_hits	example_ref	example_token_zazaki	example_token_lerch	example_line_zazaki	example_line_lerch	review_status	reviewer_note
auna	review_against_existing	auna	saw		Related Lerch glossary hit(s) exist, but the match is broad; decide whether this belongs under an existing entry.	7	3	uc-kardes-masali:5; ali-agha-ladi-kelhani:1; kauge-nyerib-u-sivani:1	auna	awnya; awna	auńā́; auńā́; auná; aunā́; auńá,	saw	aunaürike [lerch_glossary_p197_r0005:entry]: Schakal.	ali-agha-ladi-kelhani:a03_l14:2	awnya	auńā́	bıkşû. A'hmêd awnya dyêsi wedi, yaw şıbakê 'ha dyêsê wedidê, desti	bi̥kšú. Ah̔méd auńā́ d́ési we̱dí, yau ši̥bā́ke h̔ā d́ése wé̱dide, dé̱sti	needs_human_review	
suena	review_high_value	suena	I go; goes		Occurs in multiple texts and should be checked against the scanned glossary/headword policy.	7	3	goin-puhu-kusunun-hikayesi:3; uc-kardes-masali:3; degirmenci-ve-tilki:1	suena	şwêna	šuén’a; šuén’a.; šuen’a; šuen’a,	I go; goes		degirmenci-ve-tilki:mf05_l04:5	şwêna	šuen’a	lwêra: mıri awkê byarê, ez şwêna dêsmaç. Lwê werişt şyê, awkê	lúera: mí̥ri aúke byā́re, e̱z šuen’a desmāt̮. Lúe we̱ríšt šíe, aúke	needs_human_review	
beg	review_lower_priority	beg	Beg, title; Beg		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	7	2	kauge-nyerib-u-hyeni:6; gespraech-mit-hassan:1	beg	beg; Beg	be̱g; Be̱g	Beg, title; Beg		gespraech-mit-hassan:h02_l01:1	Beg	Be̱g	Ali Beg sıpyerdışû dawê Aldûni estû.	Áli Be̱g si̥pye̱rdí̥šu daúe Aldū́ni é̱stu.	needs_human_review	
wida	review_high_value	wida	there; at once; immediately		Occurs in multiple texts and should be checked against the scanned glossary/headword policy.	6	4	degirmenci-ve-tilki:2; kauge-nyerib-u-hyeni:2; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	wida	wica; Wica; wida	wíd̮a; Wíd̮ā; wíd̮ā; widā; wid̮á; wid̮ā́	there; at once; immediately		degirmenci-ve-tilki:mf03_l04:3	wica	wíd̮a	erzê xoê mê wica ver daw, ez amêya Paşay Mısri va kê: êspar	é̱rz’e χóe me wíd̮a ve̱r daú, e̱z āmeía.] Pašaí Mí̥sri vā ke: espā́r	needs_human_review	
ameia	review_high_value	ameia	I came; came		Occurs in multiple texts and should be checked against the scanned glossary/headword policy.	6	3	kauge-nyerib-u-sivani:3; kauge-nyerib-u-hyeni:2; degirmenci-ve-tilki:1	ameia	amêya	āmeía; āmeía.]; āmeía:; āmeía.; ameía	I came; came		degirmenci-ve-tilki:mf03_l04:7	amêya	āmeía.]	erzê xoê mê wica ver daw, ez amêya Paşay Mısri va kê: êspar	é̱rz’e χóe me wíd̮a ve̱r daú, e̱z āmeía.] Pašaí Mí̥sri vā ke: espā́r	needs_human_review	
aunai	review_against_existing	aunai	saw		Related Lerch glossary hit(s) exist, but the match is broad; decide whether this belongs under an existing entry.	6	3	kauge-nyerib-u-hyeni:3; uc-kardes-masali:2; degirmenci-ve-tilki:1	aunai	awnyay; awnay	auńaí; aunái	saw	aunaürike [lerch_glossary_p197_r0005:entry]: Schakal.	degirmenci-ve-tilki:mf02_l01:2	awnyay	auńaí	newêtê paûtê, awnyay kê myanê şawê yaw lûê amêy zerê, şyê mê-	né̱wete pa’úte, auńaí ke myā́ne šaú’e yau lú’e āmeí zé̱re, šíe me-	needs_human_review	
desmat	review_against_existing	desmat	ablution		Related Lerch glossary hit(s) exist, but the match is broad; decide whether this belongs under an existing entry.	6	3	degirmenci-ve-tilki:4; goin-puhu-kusunun-hikayesi:1; uc-kardes-masali:1	desmat	dêsmaç	desmā́t̮; desmāt̮,; desmāt̮.; desmā́t̮	ablution	desmäl [lerch_glossary_p208_r0305:entry]: Waschung. | D'esmüni [lerch_glossary_p209_r0338:entry]: Ortsname, 65.3. lyesmündi, Appellativ von D'es- müni. Vgl. Krm. naniik. newete...	degirmenci-ve-tilki:mf05_l03:2	dêsmaç	desmā́t̮	nê, şwê, dêsmaç bigi, byê zerê, nêmac bıkê. Arêwangçi va kê	ne, šúe, desmā́t̮ bigí, bye zé̱re, nemā́d̮ bi̥ké. Ārewāṅt̮í vā ke	needs_human_review	
bu	review_lower_priority	bu	be		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	6	2	uc-kardes-masali:4; goin-puhu-kusunun-hikayesi:2	bu	bû	bu,; bu.; bū.; bú.	be		goin-puhu-kusunun-hikayesi:g02_l09:6	bû	bu,	Bawki kêynêkê xoêra va kê: 'hêyr bû, senyê bêray twê kişênû?	Baúki keíneke χóera vā ke: h̔eir bu, sḗ̱n’ie berāí túe kīšén’u?	needs_human_review	
tina	review_against_existing	tina	cuts; is not there		Related Lerch glossary hit(s) exist, but the match is broad; decide whether this belongs under an existing entry.	6	2	uc-kardes-masali:5; goin-puhu-kusunun-hikayesi:1	tina	çına; çina	t̮í̥na; t̮ína,; t̮í̥na,; t̮í̥na,	cuts; is not there	tinau [lerch_glossary_p205_r0220:entry]: how is it? | tihü [lerch_glossary_p206_r0222:entry]: ist nicht, 55.12-13. Vgl. Krm. tune,	goin-puhu-kusunun-hikayesi:g04_l05:9	çına	t̮í̥na,	amêy kêyê. Ek bêray xoê çınû, cênyay bawki xoê çına, şi, lawki	āmeí keíye. E̱k beraí χóe t̮í̥nu, d̮éniai baúki χóe t̮í̥na, šī, laúki	needs_human_review	
alah	review_high_value	alah	God		Occurs in multiple texts and should be checked against the scanned glossary/headword policy.	5	4	uc-kardes-masali:2; ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1; kauge-nyerib-u-sivani:1	alah	Alah	Aláh	God		ali-agha-ladi-kelhani:a03_l13:0	Alah	Aláh	Alah izmê mê bıdû, ez twê veri êyxoê kışêna. 'Hal şi kê A'hmêdi	Aláh ī́zme me bi̥dú, e̱z túe vé̱ri eiχóe ki̥šén’a. Hʿāl ši ke Ah̔médi	needs_human_review	
bera	review_against_existing	bera	brother; here		Related Lerch glossary hit(s) exist, but the match is broad; decide whether this belongs under an existing entry.	5	2	uc-kardes-masali:4; kauge-nyerib-u-sivani:1	bera	bêra	berá; berá; berā́; berá,	brother; here	ber äekit [lerch_glossary_p215_r0478:entry]: drang vor, 64 4. ber bidikni, dringet vor, 64.2.	kauge-nyerib-u-sivani:s01_l10:1	bêra	berá	bıkêra, bêra twê ez dyang, lakimkê ez ha bêna, zor bêna. Laci	bi̥kéra, berá túe e̱z diā́ṅ, lakímke e̱z hā bén’a, zōr bén’a. Lā́d̮i	needs_human_review	
biaru	review_lower_priority	biaru	bring		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	5	1	uc-kardes-masali:5	biaru	byarû	biáru.	bring		uc-kardes-masali:tb03_l11:2	byarû	biáru.	ena pilaw byarû. 'Hasanêk da kağit dênyay dyewi. Cênyay dyewi ka-	ḗ̱n’a pilaú biáru. H̔asanék dā kaγít déniai d́é̱wi. D̮éniai d́é̱wi ka-	needs_human_review	
eistu	review_lower_priority	eistu	threw		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	5	1	goin-puhu-kusunun-hikayesi:5	eistu	êyştû	eíštu	threw		goin-puhu-kusunun-hikayesi:g02_l07:0	êyştû	eíštu	êyştû zêyndang. Sêbah wardêna, bawki xoêra vana: baw, mê em-	eíštu zeindā́ṅ. Sebáh wardén’a, bāúki χóera vā́na: bau, me é̱m-	needs_human_review	
kaugau	review_lower_priority	kaugau	fought		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	5	1	kauge-nyerib-u-hyeni:5	kaugau	kawğaw	kauγaú.; kauγaú,	fought		kauge-nyerib-u-hyeni:h03_l04:2	kawğaw	kauγaú.	kawğe ma kawğaw.	ḱauγé̱ mā kauγaú.	needs_human_review	
keineke	review_against_existing	keineke	the girl		Related Lerch glossary hit(s) exist, but the match is broad; decide whether this belongs under an existing entry.	5	1	goin-puhu-kusunun-hikayesi:5	keineke	kêynêkê; Kêynêkê	keíneke; Keíneke; keíneke,	the girl	keincka [lerch_glossary_p203_r0146:entry]: keineke, Diminutiv von keina, 80.4, s.	goin-puhu-kusunun-hikayesi:g02_l03:0	Kêynêkê	Keíneke	Kêynêkê şwêna golikangdê; kêynêk rocêki yerêy golikana yêna,	Keíneke šuén’a gōlikā́ṅde; keínek rṓd̮eki yé̱rei gōlikā́na yén’a,	needs_human_review	
ladeki	review_lower_priority	ladeki	of the boy		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	5	1	goin-puhu-kusunun-hikayesi:5	ladeki	lacêki	lā́d̮eki; lā́d̮eki	of the boy		goin-puhu-kusunun-hikayesi:g03_l05:3	lacêki	lā́d̮eki	zıbil wêlê kêrda lacêki ser. Bawki kêynêk amêy kêyê, cênyay	zi̥bíl wél’e kérda lā́d̮eki se̱r. Baúki keínek āmeí keíye, d̮éniai	needs_human_review	
nost	review_lower_priority	nost	wrote		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	5	1	uc-kardes-masali:5	nost	noşt	no̤št,; no̤št:; nošt,; nöšt,	wrote		uc-kardes-masali:tb03_l01:6	noşt	no̤št,	maci yêri. Dyaw werişt, yaw kağit noşt, da 'Hasanêkira, va kê:	mā́d̮i yẹ̄́rí. D́au we̱ríšt, yau kaγít no̤št, dā H̔asanékira, vā ke:	needs_human_review	
nostu	review_lower_priority	nostu	wrote		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	5	1	uc-kardes-masali:5	nostu	noştû	nó̤štu; no̤štu; no̤štu,; nó̤štu.; nó̤štu:	wrote		uc-kardes-masali:tb03_l05:10	noştû	nó̤štu	dı saati şê, kağit akerd, wengd, awnya kê, dyewi kağiti noştû ekê	di̥ sá’ati šẹ̄, kaγít āké̱rd, we̱ṅd, auńā́ ke, d́é̱wi kaγíti nó̤štu é̱ke	needs_human_review	
qaifeti	review_lower_priority	qaifeti	coffeehouse keeper; RECIP		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	5	1	uc-kardes-masali:5	qaifeti	qayfeçi; qayfêçira; Qayfeçi; qayfetira; Qayfeti	qaife̱t̮í; qaifet̮íra:; Qaife̱t̮í; qaife̱tíra; Qaife̱tí	coffeehouse keeper; RECIP		uc-kardes-masali:tb07_l11:2	qayfeçi	qaife̱t̮í	berd yaw qayfeçi 'hêtê ver da. 'Hasanêki va kê qayfêçira: ağa,	be̱rd yau qaife̱t̮í h̔ēte ve̱r dā. H̔asanéki vā ke qaifet̮íra: aγá,	needs_human_review	
sahrestan	review_against_existing	sahrestan	town		Related Lerch glossary hit(s) exist, but the match is broad; decide whether this belongs under an existing entry.	5	1	kauge-nyerib-u-hyeni:5	sahrestan	şahrêstan; şahrêstang	šahrestān; šáhrestān; šahrestāṅ,; šahrestā́n	town	Sahrestdn [lerch_glossary_p210_r0349:entry]: Stadt; vgl. npers	kauge-nyerib-u-hyeni:h03_l10:9	şahrêstan	šáhrestān	Daqma begi zerêy 'Hyênidê dêlali vêyng da: nyêçaw ğarib şahrêstan	Dáqma bé̱gi ze̱reí Hʿyẹ̄́nide delā́li veiṅ dā: ńét̮au γarib šáhrestān	needs_human_review	
taalan	review_lower_priority	taalan	plunder		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	5	1	kauge-nyerib-u-sivani:5	taalan	taalan	tá’alan	plunder		kauge-nyerib-u-sivani:s03_l11:12	taalan	tá’alan	va kê: twe ehêndê eskêri mê kişt, twê şeş dawê mê veşnay, taalan	vā ke: túe̱ é̱hende e̱skéri me kišt, túe še̱š dau’e me ve̱šnai, tá’alan	needs_human_review	
sebah	review_high_value	sebah	morning		Occurs in multiple texts and should be checked against the scanned glossary/headword policy.	4	4	degirmenci-ve-tilki:1; goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1	sebah	sêbah; Sêbah	sebáh; Sebáh; sebāh; Sebáh	morning		degirmenci-ve-tilki:mf01_l03:0	sêbah	sebáh	sêbah werişt, ame arêyê, awnyaykê ardi mêsahıdi çınyi; aya şawê	sebáh we̱ríšt, āmé̱ āréye, auńaíke ā́rdi mesáhi̥di t̮í̥ńi; áya šaú’e	needs_human_review	
su	review_high_value	su	went; shepherds-		Occurs in multiple texts and should be checked against the scanned glossary/headword policy.	4	4	degirmenci-ve-tilki:1; goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	su	şû; sû; şü	šu; šu; su-; šṳ́-	went; shepherds-		degirmenci-ve-tilki:mf05_l08:5	şû	šu	rira va kê: çêmçaqû paşa şû dêsmaç, nyêzana se byû, gnaw erû,	rira vā ke: t̮emt̮aqú pašá šu desmāt̮, ńézāna se̱ byu, gnau é̱ru,	needs_human_review	
vinde	review_against_existing	vinde	stay		Related Lerch glossary hit(s) exist, but the match is broad; decide whether this belongs under an existing entry.	4	4	degirmenci-ve-tilki:1; goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-sivani:1; uc-kardes-masali:1	vinde	vındê; vindê	vínde,; ví̥nde.; ví̥nde,; vi̥ndé,	stay	venert [lerch_glossary_p219_r0571:entry]: stood / sat / remained | vindßn’a [lerch_glossary_p219_r0580:entry]: (ich) bleibe, s. venden’a. vjndd, bleibe stehen, 57.6. äqjli vinde, bleibe vern...	degirmenci-ve-tilki:mf04_l14:4	vindê	vínde,	metêrsê, ez nyêvêrdana, aqıli vindê, paşay Mısri nêkay ame zerê,	mé̱terse, e̱z ńeverdā́na, āqí̥li vínde, pašai Mí̥sri nekaí āmé̱ zé̱re,	needs_human_review	
geraute	review_high_value	geraute	took		Occurs in multiple texts and should be checked against the scanned glossary/headword policy.	4	3	uc-kardes-masali:2; ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1	geraute	gêrawtê	geraúte; geraúte; geraúte,	took		ali-agha-ladi-kelhani:a04_l01:9	gêrawtê	geraúte	xoê berd zerêy şibakê, yaw xancêri zerêy şıbakêdê di gêrawtê vera,	χóe be̱rd ze̱reí šibāke, yau χand̮éri ze̱reí ši̥bā́kede dī geraúte vé̱ra,	needs_human_review	
lingeru	review_against_existing	lingeru	feet		Related Lerch glossary hit(s) exist, but the match is broad; decide whether this belongs under an existing entry.	4	3	kauge-nyerib-u-sivani:2; degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1	lingeru	lingêrû	língeru.; língeru,; líṅgeru; líṅgeru,	feet	ling [lerch_glossary_p213_r0417:entry]: Bein. Vgl. Krm. ling.	degirmenci-ve-tilki:mf05_l01:2	lingêrû	língeru.	warzê, law lingêrû. Çêmçaqû paşa va kê lwêra: nêkay paşay Mışri	wárze, lau língeru. T̮emt̮aqú pašá vā ke lúera: nekaí pašai Mí̥šri	needs_human_review	
teber	review_high_value	teber	outside		Occurs in multiple texts and should be checked against the scanned glossary/headword policy.	4	3	ali-agha-ladi-kelhani:2; degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1	teber	tebêr	te̱bér,; te̱bér,	outside		ali-agha-ladi-kelhani:a03_l06:8	tebêr	te̱bér,	kişêni. 'Hali xancêray A'hmêdi nyêday cê. 'Hal şê tebêr, eskêri	kišén’i. Hʿāli χand̮érai Ah̔médi ńédai d̮e. Hʿāl šẹ̄ te̱bér, e̱skéri	needs_human_review	
tewi	review_high_value	tewi	no one		Occurs in multiple texts and should be checked against the scanned glossary/headword policy.	4	3	kauge-nyerib-u-hyeni:2; ali-agha-ladi-kelhani:1; kauge-nyerib-u-sivani:1	tewi	çewi	t̮é̱wi; t̮é̱wi; t̮é̱wi	no one		ali-agha-ladi-kelhani:a01_l03:6	çewi	t̮é̱wi	kişti. Çawdi Ali ağay çi nyêbê, çewi desti Ali ağay nyêgêrawt. Ali	kíšti. T̮aúdi Áli aγaí t̮i ńébe, t̮é̱wi dé̱sti Áli aγaí ńegeraút. Áli	needs_human_review	
akerd	review_lower_priority	akerd	opened		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	4	2	uc-kardes-masali:3; kauge-nyerib-u-sivani:1	akerd	akêrd; akerd	ākérd,; āké̱rd,; aké̱rd,; akērd,	opened		kauge-nyerib-u-sivani:s01_l03:3	akêrd	ākérd,	Mêla A'hmêdi Qafan akêrd, pûrti Mêla A'hmêdi Qafan gêrawt	Mél’a Ah̔médi Qafán ākérd, púrti Mél’a Ah̔médi Qafán geraút	needs_human_review	
dumilbazi	review_lower_priority	dumilbazi	drum		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	4	2	kauge-nyerib-u-sivani:3; kauge-nyerib-u-hyeni:1	dumilbazi	dümilbazi; dûmilbazi; Dûmilbazi	dṳ́milbā́zi; dúmilbā́zi; Dúmilbāzi	drum		kauge-nyerib-u-hyeni:h04_l11:5	dûmilbazi	dúmilbā́zi	Xalef ağa werişt bê êspar, dûmilbazi da püroê, kawt eskêri	Χalé̱f aγá we̱ríšt be espā́r, dúmilbā́zi dā pṳ́roe, kaut e̱skéri	needs_human_review	
eru	review_lower_priority	eru	earth		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	4	2	degirmenci-ve-tilki:2; uc-kardes-masali:2	eru	erû	é̱ru,; é̱ru.	earth		degirmenci-ve-tilki:mf05_l07:6	erû	é̱ru,	lwê şi gêray, arêwangçi di, gnaw erû, merdû. Lwê amêy, paşay Mıs-	lúe ši geraí, ārewāṅt̮í dī, gnau é̱ru, mé̱rdu. Lúe āmeí, pašai Mí̥s-	needs_human_review	
garib	review_lower_priority	γarib	stranger; PL; EZ/OBL		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	4	2	ali-agha-ladi-kelhani:3; kauge-nyerib-u-hyeni:1	γarib; garib	ğaribana; ğarib	γaribā́na; γarib	stranger; PL; EZ/OBL; outsider		ali-agha-ladi-kelhani:a04_l08:2	ğaribana	γaribā́na	hêyşt merdümi ğaribana pyêrû mêndi wadedê. Soba Mêlay Rêsa	heišt me̱rdṳ́mi γaribā́na pyéru méndi wáde̱de. So̤bá Mél’ai Resá	needs_human_review	
hemam	review_against_existing	hemam	bath; ABL		Related Lerch glossary hit(s) exist, but the match is broad; decide whether this belongs under an existing entry.	4	2	degirmenci-ve-tilki:2; uc-kardes-masali:2	hemam	'hemam; 'hêmam; 'hêmamra	h̔é̱m’ām,; h̔e̱m’ām,; h̔emám,; h̔emā́mra	bath; ABL	hema [lerch_glossary_p201_r0107:entry]: however; only	degirmenci-ve-tilki:mf03_l12:5	'hemam	h̔é̱m’ām,	şadê Mısri wayştê, warzê, şwê 'hemam, xoê bışû, temiz kê, byê,	šáde Mi̥sri waíšte, wárze, šúe h̔é̱m’ām, χóe bi̥šú, te̱míz ke, bye,	needs_human_review	
qamek	review_lower_priority	qamek	some; whoever		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	4	2	degirmenci-ve-tilki:3; kauge-nyerib-u-hyeni:1	qamek	qamêk	qā́mek; qāmek; qā́meḱ	some; whoever		degirmenci-ve-tilki:mf04_l05:3	qamêk	qā́mek	sêlam bêdû. Eskêri qamêk va: enoê delû, enoê dêlû; qamêk va:	selám bedú. E̱skéri qā́mek vā: ḗ̱n’oe dé̱lu, ḗ̱n’oe délu; qā́mek vā:	needs_human_review	
qauwi	review_lower_priority	qauwi	surely; why		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	4	2	goin-puhu-kusunun-hikayesi:2; uc-kardes-masali:2	qauwi	qawi	qaúwi; qaúwi	surely; why		goin-puhu-kusunun-hikayesi:g03_l06:4	qawi	qaúwi	xoêra va kê: twê qawi laci mê kiştû, way cêy bi şewi 'hawni xoê-	χóera vā ke: túe qaúwi lā́d̮i me kíštu, wai d̮ei bi še̱wi h̔aúni χóe-	needs_human_review	
teni	review_against_existing	teni	persons		Related Lerch glossary hit(s) exist, but the match is broad; decide whether this belongs under an existing entry.	4	2	ali-agha-ladi-kelhani:3; kauge-nyerib-u-hyeni:1	teni	teni; têni	té̱ni; tén’i	persons	tenitaqü [lerch_glossary_p205_r0213:entry]: temteqü pa§ä, 84 sq.	ali-agha-ladi-kelhani:a04_l04:9	teni	té̱ni	çimyirû, goêni byê A'hmêdi çimi. A'hmêd hyêrs bê, 'hawt teni pêy	t̮ímyiru, gó’eni bíe Ah̔médi t̮ími. Ah̔méd hyẹ̄rs be, h̔aut té̱ni pei	needs_human_review	
vesnai	review_lower_priority	vesnai	burned		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	4	2	kauge-nyerib-u-sivani:3; kauge-nyerib-u-hyeni:1	vesnai	veşnay	ve̱šnaí,; vé̱šnai,; ve̱šnai,	burned		kauge-nyerib-u-hyeni:h05_l13:1	veşnay	ve̱šnaí,	'Hyêni veşnay, serêy Xalil êfêndi têra kêrd, ard, da Xalef	Hʿyẹ̄́ni ve̱šnaí, sé̱rei Χalíl eféndi terá kerd, ārd, dā Χalé̱f	needs_human_review	
vesnena	review_lower_priority	vesnena	I will burn		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	4	2	kauge-nyerib-u-hyeni:3; kauge-nyerib-u-sivani:1	vesnena	veşnêna; vêşnêna	ve̱šnén’a,; vešnén’a.; ve̱šnén’a.	I will burn		kauge-nyerib-u-hyeni:h04_l04:2	vêşnêna	vešnén’a.	emşoê şahrêstan vêşnêna.	é̱mšoe šahrestān vešnén’a.	needs_human_review	
warzi	review_against_existing	warzi	get up; rise		Related Lerch glossary hit(s) exist, but the match is broad; decide whether this belongs under an existing entry.	4	2	uc-kardes-masali:3; kauge-nyerib-u-hyeni:1	warzi	warzi	wárzi,; wārzi,; wárzi	get up; rise	warzdn’a [lerch_glossary_p220_r0589:entry]: (ich) erhebe mich, stehe auf. wärzi, stehet auf. weriät, erhob sich, stand auf....	kauge-nyerib-u-hyeni:h05_l07:2	warzi	wárzi,	ağay amê, warzi, şyêri metırisi. Xalef ağay eskêri xoêra va kê:	āγái āmé, wárzi, šyẹ̄́ri me̱ti̥rísi. Χalé̱f aγái e̱skéri χóera vā ke:	needs_human_review	
wesi	review_lower_priority	wesi	reconciliation		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	4	2	kauge-nyerib-u-hyeni:2; kauge-nyerib-u-sivani:2	wesi	weşi; weşı	wé̱ši̥; wé̱ši,; wé̱ši; wé̱ši,	reconciliation		kauge-nyerib-u-hyeni:h09_l06:7	weşı	wé̱ši̥	Xalef ağay daw pyêrû byêri, ma pya weşı ki. Ağay Zıriki werişti,	Χalé̱f aγái dau pyéru byẹ̄́ri, mā pyā wé̱ši̥ ki. Aγái Zí̥riki we̱ríšti,	needs_human_review	
yauna	review_lower_priority	yauna	another		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	4	2	uc-kardes-masali:3; goin-puhu-kusunun-hikayesi:1	yauna	yawna	yaúna; yaúna; yaū́na	another		goin-puhu-kusunun-hikayesi:g01_l02:7	yawna	yaúna	têra bi. Cênyay merd, pêynıdê myêrdê şê yawna cêni ardê. Dı	terá bī. D̮éniai me̱rd, peíni̥de myérde šẹ̄ yaúna d̮éni ā́rde. Di̥	needs_human_review	
auke	review_lower_priority	auke	water; ABL		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	4	1	degirmenci-ve-tilki:4	auke	awkê; awkêra	aúke; aúkera	water; ABL		degirmenci-ve-tilki:mf03_l03:5	awkêra	aúkera	lingê, mê enoê dest tepişt awkêra vecyaya tebêr, çêmçêqû paşa	líṅge, me ḗ̱n’oe de̱st te̱píšt aúkera ve̱d̮iáya te̱bér, t̮emt̮equ pašá	needs_human_review	
basi	review_lower_priority	basi	captain; RECIP		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	4	1	uc-kardes-masali:4	basi	başira; başi	baší; bašíra; bašīra:	captain; RECIP		uc-kardes-masali:tb08_l09:7	başira	bašíra	ban 'hêmamra vet gêrawt berd têslimê qabas başira va kê: enoê	bán h̔emā́mra ve̱t geraút be̱rd teslī́me qabā́s bašíra vā ke: ḗ̱n’oe	needs_human_review	
bia	review_lower_priority	bia	was		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	4	1	gespraech-mit-hassan:4	bia	bya	bía;; bía,; bía.	was		gespraech-mit-hassan:h03_l11:2	bya	bía;	ez tedê bya; kawğei Sivani û Avdûla begi mê di, ez tedê bya;	e̱z té̱de bía; kauγé̱’i Sivā́ni u Avdúla bé̱gi me dī, e̱z té̱de bía;	needs_human_review	
eman	review_lower_priority	eman	mercy		Included because it occurs frequently or has a useful context gloss, but needs manual headword judgment.	4	1	kauge-nyerib-u-hyeni:4	eman	eman	e̱mán; e̱mán,	mercy		kauge-nyerib-u-hyeni:h05_l14:5	eman	e̱mán	ağayra. Daqma begi va kê: eman êfêndim, ez kawğe nyêkêna,	aγáira. Dáqma bé̱gi vā ke: e̱mán eféndim, e̱z kauγé̱ ńekén’a,	needs_human_review	
