priority	issues	entry_id	entry_display	entry_search	parent	parent_search	entry_type	entry_review_status	definition_en_review_status	definition_tr_source	definition_de	definition_en	definition_tr	raw_headword	source_page	source_row_idx	suggested_next_step
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0071:entry	efendim	efendim			word	ocr_extracted			(tiirk.^jJil), mein Herr,			efendim	199	71	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0037:entry	ehende	ehende			word	ocr_extracted			einige, 68.9.			ehende	198	37	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0054:entry	eil	eil			word	ocr_extracted			eilek, Kind,			eil	199	54	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0053:entry	eiroe	eiroe			word	ocr_extracted			heute. Vgl. Krm. Irö. eiru = eiroe.			eiroe	199	53	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0052:entry	eizjmi	eizjmi			word	ocr_extracted			Holz. Vgl. Krm. hezjng.			eizjmi	199	52	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0051:entry	eiäte	eiate			word	ocr_extracted			warf, 58.3; 82. ii.			eiäte	199	51	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0036:entry	el'itidr	elitidr			word	ocr_extracted			Greis,			el'itidr	198	36	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0068:entry	emSr	emsr			word	ocr_extracted			(arab.^^c), Leben.			emSr	199	68	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0046:entry	engeld	engeld			word	ocr_extracted			Oberarm,			engeld	198	46	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0047:entry	engimye	engimye			word	ocr_extracted			Honig. Vgl. Krm. hinglv.			engimye	198	47	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0048:entry	engist	engist			word	ocr_extracted			Finger. Vgl. allb: angusta; hzv: e-rp. . pärs^ npers: *. „;.r.l S. Polt Zählmethode, 283. engisti lingän, Fusszehe. engistere, Hing am Finger, eiigi'ir, Weintraube. Vgl. Ir. bei Kich: engheer, npers: jfi>\			engist	198	48	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p198_r0039:entry	enkai	enkai			word	ocr_extracted			sobald, 67.2.			enkai	198	39	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0062:entry	erdjsi	erdjsi			word	ocr_extracted			Bart.			erdjsi	199	62	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0066:entry	ernte	ernte			word	ocr_extracted			Schulter,			ernte	199	66	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0064:entry	ers kerd	ers kerd			phrase	ocr_extracted			komniandirte: marsch!			ers kerd	199	64	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0065:entry	eräau’üte	eraauute			word	ocr_extracted			schickte. ersauwen’a, (ich) schicke. Vgl. oss: apB&ryu.			eräau’üte	199	65	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0060:entry	esnau kdn’a	esnau kdna			phrase	ocr_extracted			bade mich,			esnau kdn’a	199	60	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0050:entry	estdr	estdr			word	ocr_extracted			Stern. Vgl. Krm. istörik, histSr, hu- stSr, sterik.			estdr	199	50	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0058:entry	estdr	estdr			word	ocr_extracted			Pferd,			estdr	199	58	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0059:entry	estii	estii			word	ocr_extracted			ist.			estii	199	59	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0072:entry	evära	evara			word	ocr_extracted			Abend.			evära	199	72	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p207_r0253:entry	f Nerbkl	f nerbkl			phrase	ocr_extracted			Appellativ von Nerib.			f Nerbkl	207	253	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p217_r0527:entry	feni	feni			word	ocr_extracted			gleich, s. Krm. feni.			feni	217	527	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p217_r0530:entry	ferdn’a	ferdna			word	ocr_extracted			(ich) fliege.			ferdn’a	217	530	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p217_r0529:entry	Ferdtu	ferdtu			word	ocr_extracted			Euphrat,			Ferdtu	217	529	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p217_r0528:entry	ferdye	ferdye			word	ocr_extracted			ist geflogen, s. ferdn’a.			ferdye	217	528	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p217_r0542:entry	ferindi	ferindi			word	ocr_extracted			Bäcker,			ferindi	217	542	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p217_r0541:entry	ferln	ferln			word	ocr_extracted			Ofen,			ferln	217	541	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p217_r0544:entry	filfillk	filfillk			word	ocr_extracted			Schmetterling, filfilika §au, Nachtfalter.			filfillk	217	544	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p217_r0543:entry	fll	fll			word	ocr_extracted			Elephant: s. Krm. fll.			fll	217	543	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0177:entry	gaz keu'a	gaz keua			phrase	ocr_extracted			beisse.			gaz keu'a	204	177	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0180:entry	gcraüt	gcraut			word	ocr_extracted			nahm, griff, s. gdn’a. Vgl. Krm. girt. ez geraüta, ich bin ergrifleu worden, 56.10. liegeraüt, nahm nicht, 61.o.			gcraüt	204	180	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0179:entry	geira	geira			word	ocr_extracted			ging, 56.7; s. geren’a.			geira	204	179	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0182:entry	gelähke	gelahke			word	ocr_extracted			Mal. Ön’a gelähke, dieses Mal.			gelähke	204	182	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0188:entry	gen’a	gena			word	ocr_extracted			(ich) nehme, 66.13. bigü (imp.), nimm, bigä, (ich) werde nehmen, bjgi, (du) wirst nehmen, 66.14. geraut, nahm. , k. | kutelän = kuteräh.			gen’a	204	188	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0181:entry	geren’a	gerena			word	ocr_extracted			(ich) gehe. di girlai, gingen davon, 62. io.			geren’a	204	181	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0195:entry	gern	gern			word	ocr_extracted			wann. Vgl. Krm. germ, germ. Xa’in, (arab. ^.li), Verräthcr. Xa'ine ken’a, (ich) verrathe. Vgl. Krm. ka’in. Xazirän, Monatsn.; s. Aktk. I.S.xv. •yarib, (ar. fremd. yal6, YVaizen. Vgl. Krm. genim.			gern	204	195	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0183:entry	gjzik	gjzik			word	ocr_extracted			Haar,			gjzik	204	183	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0194:entry	gnen’a	gnena			word	ocr_extracted			(ich) falle. gnen’u eru, fallt herab, fällt auf die Erde, 57.7-8. gna, fiel. gna Ahniedi pei tlmyiru, Bei dem Achmed zwischen die Augen, 64.11-12.			gnen’a	204	194	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0049:entry	gtia	gtia			word	ocr_extracted			hier. etira, hierher, von hier, en’a = äna. Sn’oe = fn’a. Sn’ie, plur.			gtia	199	49	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0193:entry	gurä	gura			word	ocr_extracted			gure, Arbeit. guraükh, eine Arbeit, ein Ge- schäft. te te guraüke vädi beral me destra yen’u, welche Arbeit du ansagsl (befiehlst), mein Bruder wird sie leisten 56.4-3.			gurä	204	193	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0178:entry	gämye	gamye			word	ocr_extracted			ein wenig,			gämye	204	178	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0190:entry	gölek	golek			word	ocr_extracted			gölik = gö’elik.			gölek	204	190	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0191:entry	gölikäu	golikau			word	ocr_extracted			Kälberweide,			gölikäu	204	191	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0192:entry	gövdndi	govdndi			word	ocr_extracted			Tanz. Vgl. Krm. gövend.			gövdndi	204	192	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0187:entry	gözeke	gozeke			word	ocr_extracted			Knöchel.			gözeke	204	187	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0186:entry	gö’elik	goelik			word	ocr_extracted			gölek, Kalb; s. ga.			gö’elik	204	186	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p204_r0185:entry	gö’en	goen			word	ocr_extracted			Blut; s. gö’in.			gö’en	204	185	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p200_r0081:entry	h&tia	h tia			word	ocr_extracted			hier.			h&tia	200	81	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p200_r0089:entry	H'enzi	henzi			word	ocr_extracted			s. Deistei H'enzi.			H'enzi	200	89	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p200_r0074:entry	ha in	ha in			phrase	ocr_extracted			hier; 64.8; 66.».			ha in	200	74	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p200_r0082:entry	hadrü	hadru			word	ocr_extracted			hadre, bereit, fertig, hadraü, ist fertig, hadre kerdu, bereite, 52.7.			hadrü	200	82	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p201_r0103:entry	halyen	halyen			word	ocr_extracted			Nest. Vgl. Krm. helin.			halyen	201	103	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p200_r0077:entry	hau	hau			word	ocr_extracted			Schlaf. Vgl. Krm. liäv.			hau	200	77	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p201_r0097:entry	haut	haut			word	ocr_extracted			sieben.			haut	201	97	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p201_r0099:entry	hautaviu	hautaviu			word	ocr_extracted			siebzigste,			hautaviu	201	99	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p201_r0100:entry	hautes	hautes			word	ocr_extracted			siebzebu.			hautes	201	100	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p201_r0101:entry	hautesin	hautesin			word	ocr_extracted			siebzehnte.			hautesin	201	101	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p201_r0102:entry	hautSn	hautsn			word	ocr_extracted			siebente, hak = hak.			hautSn	201	102	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p200_r0078:entry	haüna	hauna			word	ocr_extracted			sogleich,			haüna	200	78	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p206_r0232:entry	he	he			word	ocr_extracted			nicht,			he	206	232	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p206_r0233:entry	hebl	hebl			word	ocr_extracted			waren nicht,			hebl	206	233	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p201_r0106:entry	helye	helye			word	ocr_extracted			ein wenig,			helye	201	106	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p200_r0094:entry	hendür	hendur			word	ocr_extracted			Dolch. Vgl. Krm. yantür.			hendür	200	94	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p200_r0093:entry	hera’am	heraam			word	ocr_extracted			Bad.			hera’am	200	93	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p200_r0092:entry	herein	herein			word	ocr_extracted			Harem,			herein	200	92	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p201_r0105:entry	hergu	hergu			word	ocr_extracted			Jeder. hergu kes, ein Jeder, welcher,			hergu	201	105	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p206_r0251:entry	hesna'ütu	hesnautu			word	ocr_extracted			hörte nicht, 50.7.			hesna'ütu	206	251	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p200_r0087:entry	hetakü	hetaku			word	ocr_extracted			bis.			hetakü	200	87	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p201_r0109:entry	hewd	hewd			word	ocr_extracted			Luft, Wind. hewd yen’u, der Wind gehl, bläst. Vgl. Krm. hdva.			hewd	201	109	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p200_r0076:entry	hii’idi	hiiidi			word	ocr_extracted			76. to.			hii’idi	200	76	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0483:entry	I bigd	i bigd			phrase	ocr_extracted			bigd, (imp.) nimm, 52 is; 54.t; 57.4. bitine, (imp.) schneide, 50.13; s. tinena. bjdd, (imp.) gieb, 51.8-7. bidü = bidd, 52. t. bjne, bjni, auf, über, 54. 10; 64.10. biSikni, s. ber sikit. bjst, band, fesselte. Vgl. npers: qätni te bjsti,...			I bigd	215	483	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p211_r0392:entry	II	ii			word	ocr_extracted			329: sergu, A'u/i- mislpyramiden. simdr, Stroh; vgl. türk. ^Lo. sid, schwarz. Vgl. altb: npers: 0L sine, Brust. Vgl. Krm. sing, sinen’a, (ich) liebe, sudiid, Schwur. Vgl. Krm. sönd. sudiid wen’a , (ich) schwöre vgl. Krm. sönd Kodr. sudnd w...			II	211	392	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p201_r0098:entry	Iiautai	iiautai			word	ocr_extracted			siebzig,			Iiautai	201	98	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p207_r0254:entry	iieben’i	iiebeni			word	ocr_extracted			sind nicht, werden nicht			iieben’i	207	254	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p210_r0372:entry	III	iii			word	ocr_extracted			135: soul Vgl. Kriu. söl.			III	210	372	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p218_r0565:entry	IV	iv			word	ocr_extracted			24; Pott Zählmethode , 127. Anm.; Hofers Zeitscbr. I, 137-39; Förstemau n, in Kuhns Zeitschr. I, 494; Bopp. Vgl. Gr. NA. S. 3. S. Krm. gur.			IV	218	565	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p215_r0484:entry	j byäre	j byare			phrase	ocr_extracted			bringe, 86.11.			j byäre	215	484	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p199_r0057:entry	Jkji	jkji			word	ocr_extracted			1), Glück, 54.14. . 109 V			Jkji	199	57	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p202_r0127:entry	k.irdi	k irdi			word	ocr_extracted			Messer. Vgl. Krm. ker.			k.irdi	202	127	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p202_r0121:entry	kahdn	kahdn			word	ocr_extracted			alt; cf. Krm. s. ead. v.			kahdn	202	121	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p202_r0118:entry	kai kün'a	kai kuna			phrase	ocr_extracted			(ich) springe,			kai kün'a	202	118	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p202_r0134:entry	kaläni	kalani			word	ocr_extracted			Schwerlscheide.			kaläni	202	134	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p202_r0126:entry	karaküs	karakus			word	ocr_extracted			(türk, Habicht,			karaküs	202	126	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p202_r0133:entry	Karbegtini	karbegtini			word	ocr_extracted			n. pr. 61.7.			Karbegtini	202	133	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p202_r0123:entry	katjr	katjr			word	ocr_extracted			(türk.			katjr	202	123	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p202_r0120:entry	kaut	kaut			word	ocr_extracted			fiel, 64.io; s. ra kaüta. kaüta rayer, auf den Weg fal- lend, d. h. sich auf den Weg machend, 51.7. kaut ver, zog hin (zu Jeman- dem), 55.». kaüta ver, partic., 62 is,64.4 3. 0- kaul, (ar. Jy), Rede, 57.9; 58.2.			kaut	202	120	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p202_r0119:entry	kauyä	kauya			word	ocr_extracted			kauye, Kampf, Streit, Schlacht. Vgl. Krin. qauyd, kauyä.			kauyä	202	119	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p202_r0122:entry	kayit	kayit			word	ocr_extracted			Brief; cf. Krm. s. v. kayid.			kayit	202	122	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p203_r0145:entry	kcina	kcina			word	ocr_extracted			Tochter, Mädchen. Ygl.altb: ka'\n\n, Jüngling, Jung- frau , kainü puella ( Itrrkli. Gl.); pärs: (Sp. PGr. 49); cf. Kuhn in Webers Ind. Stud. I, 329; Bopp Vgl. Gr. N. A. 1, 141 ; Hofers Zeitschrift I, 61, 133. yau kcinau yau lad, ein Mäd- c...			kcina	203	145	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p202_r0142:entry	kei	kei			word	ocr_extracted			Haus, Wohnung. Vgl. npers: (s. Ilaug in d. Zeitschr. d. d. m. G.			kei	202	142	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p202_r0144:entry	keike	keike			word	ocr_extracted			sobald als, 57.«.			keike	202	144	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p203_r0146:entry	keincka	keincka			word	ocr_extracted			keineke, Diminutiv von keina, 80.4, s.			keincka	203	146	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p202_r0137:entry	kekü	keku			word	ocr_extracted			Kuckuk. Vgl. Krm. kekö.			kekü	202	137	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p202_r0138:entry	kerlng	kerlng			word	ocr_extracted			Kranich. Vgl. Krm. kolüig.			kerlng	202	138	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p203_r0158:entry	kildr	kildr			word	ocr_extracted			(türk._^T), Eidechse,			kildr	203	158	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p203_r0156:entry	kirindele	kirindele			word	ocr_extracted			Frosch,			kirindele	203	156	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p203_r0157:entry	kirj’e	kirje			word	ocr_extracted			Sonntag,			kirj’e	203	157	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p203_r0153:entry	kisen’a	kisena			word	ocr_extracted			(ich) tödte, 63.o-io. kisün'i, (du) lödtest. 63.12. kist, tödtele, getödtet. kisti , siud getödtet worden, 6 1 .y; 64.13, 14. kiSya. wurde getödtet, 64.13.			kisen’a	203	153	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
3	not_qa_reviewed; raw_ocr_extraction; missing_english; missing_turkish	lerch_glossary_p203_r0154:entry	kiüst	kiust			word	ocr_extracted			Seite des menschlichen Kör- pers, 57.8 li.			kiüst	203	154	Verify headword and German gloss against the source, then add reviewed English/Turkish glosses.
