normalized_form	token_count	text_count	texts	variants	lemmas	best_gloss_hint	examples	review_action	review_note
ten	4	1	kauge-nyerib-u-hyeni:4	tên; ten	ten	person	kauge-nyerib-u-hyeni:h08_l13:2 tên = person | kauge-nyerib-u-hyeni:h08_l14:0 tên = person | kauge-nyerib-u-hyeni:h09_l01:5 tên = person	needs_review	not_reviewed
cey	3	3	degirmenci-ve-tilki:1; goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-hyeni:1	cêy; d̮ei; cey; d̮e̱i	dei	place; that; him	degirmenci-ve-tilki:mf04_l10:10 cey = place | goin-puhu-kusunun-hikayesi:g03_l06:9 cêy = that | kauge-nyerib-u-hyeni:h03_l12:5 cêy = him	needs_review	not_reviewed
gna	3	3	ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1; uc-kardes-masali:1	gna; gnā; gnā	gna	struck; to; this time	ali-agha-ladi-kelhani:a04_l03:7 gna = struck | degirmenci-ve-tilki:mf03_l02:11 gna = to | uc-kardes-masali:tb09_l10:10 gna = this time	needs_review	not_reviewed
keri	3	3	goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1	kêri; kéri.; kéri,; kéri	keri	-army; make	goin-puhu-kusunun-hikayesi:g04_l09:1 kêri = make | kauge-nyerib-u-hyeni:h03_l01:1 kêri = -army | kauge-nyerib-u-sivani:s05_l01:0 kêri = -army	needs_review	not_reviewed
kunagi	3	3	degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1; uc-kardes-masali:1	kunaği; kunáγi	kunagi	before	degirmenci-ve-tilki:mf04_l08:2 kunaği | kauge-nyerib-u-hyeni:h04_l06:1 kunaği = before | uc-kardes-masali:tb03_l02:8 kunaği	needs_review	not_reviewed
sey	3	3	ali-agha-ladi-kelhani:1; degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1	sêy; sei	sei	hundred	ali-agha-ladi-kelhani:a02_l07:7 sêy = hundred | degirmenci-ve-tilki:mf02_l14:8 sêy = hundred | kauge-nyerib-u-hyeni:h09_l09:5 sêy = hundred	needs_review	not_reviewed
teres	3	3	degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1; uc-kardes-masali:1	têres; teré̱s,; têrês; terés,; teres	teres	cursed one; accursed one; damned	degirmenci-ve-tilki:mf04_l12:4 têres = cursed one | kauge-nyerib-u-hyeni:h04_l08:10 têrês = accursed one | uc-kardes-masali:tb06_l08:7 teres = damned	needs_review	not_reviewed
aferem	3	2	kauge-nyerib-u-hyeni:2; kauge-nyerib-u-sivani:1	afêrêm; ā́ferem,; āferém; ā́ferem	aferem	thanks	kauge-nyerib-u-hyeni:h05_l01:2 afêrêm = thanks | kauge-nyerib-u-hyeni:h08_l03:9 afêrêm = thanks | kauge-nyerib-u-sivani:s04_l10:4 afêrêm = thanks	needs_review	not_reviewed
aqil	3	2	degirmenci-ve-tilki:2; ali-agha-ladi-kelhani:1	aqıl; āqí̥l; áqi̥l	aqil	sense; reason	ali-agha-ladi-kelhani:a03_l02:7 aqıl = reason | degirmenci-ve-tilki:mf04_l07:4 aqıl = sense | degirmenci-ve-tilki:mf04_l09:11 aqıl = sense	needs_review	not_reviewed
bige	3	2	uc-kardes-masali:2; kauge-nyerib-u-hyeni:1	bıgê; bi̥gé,; bi̥gé	bi-	CONJ/FUT; bring	kauge-nyerib-u-hyeni:h07_l06:6 bıgê = CONJ/FUT; bring | uc-kardes-masali:tb08_l14:11 bıgê = CONJ/FUT; bring | uc-kardes-masali:tb09_l02:7 bıgê = CONJ/FUT; bring	needs_review	not_reviewed
bikera	3	2	kauge-nyerib-u-sivani:2; uc-kardes-masali:1	bıkêra; bi̥kéra,; bikêra; bikéra,; bi̥kéra,	bi-	CONJ/FUT; commit/do	kauge-nyerib-u-sivani:s01_l10:0 bıkêra = CONJ/FUT; commit/do | kauge-nyerib-u-sivani:s05_l06:10 bikêra = CONJ/FUT; commit/do | uc-kardes-masali:tb08_l05:9 bıkêra = CONJ/FUT; commit/do	needs_review	not_reviewed
bikeru	3	2	uc-kardes-masali:2; goin-puhu-kusunun-hikayesi:1	bıkêru; bi̥kéru.; bikêru; bikeru.; bi̥kéru,	bikeru	do; make	goin-puhu-kusunun-hikayesi:g04_l02:7 bıkêru = make | uc-kardes-masali:tb01_l08:7 bikêru = do | uc-kardes-masali:tb07_l12:9 bıkêru = do	needs_review	not_reviewed
cimani	3	2	uc-kardes-masali:2; kauge-nyerib-u-hyeni:1	çimani; t̮imā́ni; t̮imā́ni,	timani	eyes	kauge-nyerib-u-hyeni:h07_l11:4 çimani = eyes | uc-kardes-masali:tb04_l13:6 çimani = eyes | uc-kardes-masali:tb05_l05:7 çimani = eyes	needs_review	not_reviewed
hadraw	3	2	kauge-nyerib-u-hyeni:2; kauge-nyerib-u-sivani:1	'hadraw; h̔ādrāu,; h̔ādraú.; h̔adraú,	hadrau	is ready	kauge-nyerib-u-hyeni:h04_l02:1 'hadraw = is ready | kauge-nyerib-u-hyeni:h04_l10:6 'hadraw = is ready | kauge-nyerib-u-sivani:s02_l08:6 'hadraw = is ready	needs_review	not_reviewed
hemam	3	2	degirmenci-ve-tilki:2; uc-kardes-masali:1	'hemam; h̔é̱m’ām,; h̔e̱m’ām,; 'hêmam; h̔emám,	hemam	bath	degirmenci-ve-tilki:mf03_l12:5 'hemam = bath | degirmenci-ve-tilki:mf03_l14:3 'hemam = bath | uc-kardes-masali:tb08_l08:2 'hêmam = bath	needs_review	not_reviewed
heni	3	2	goin-puhu-kusunun-hikayesi:2; uc-kardes-masali:1	'hêni; h̔én’i; hêni; hén’ī	heni	again	goin-puhu-kusunun-hikayesi:g02_l13:0 'hêni = again | goin-puhu-kusunun-hikayesi:g04_l02:4 'hêni = again | uc-kardes-masali:tb09_l05:5 hêni = again	needs_review	not_reviewed
hetake	3	2	kauge-nyerib-u-hyeni:2; kauge-nyerib-u-sivani:1	'hetakê; h̔é̱take; hetakê; he̱táke	hetake	as long as	kauge-nyerib-u-hyeni:h04_l15:1 'hetakê = as long as | kauge-nyerib-u-hyeni:h08_l01:6 'hetakê = as long as | kauge-nyerib-u-sivani:s04_l09:5 hetakê = as long as	needs_review	not_reviewed
keyfe	3	2	gespraech-mit-hassan:2; uc-kardes-masali:1	Kêyfê; Keífe; kêyfê; keífe	keife	condition; wherever	gespraech-mit-hassan:h01_l01:0 Kêyfê = condition | gespraech-mit-hassan:h01_l02:0 Kêyfê = condition | uc-kardes-masali:tb07_l04:0 kêyfê = wherever	needs_review	not_reviewed
male	3	2	kauge-nyerib-u-sivani:2; kauge-nyerib-u-hyeni:1	malê; mā́le; mā́le	male	house	kauge-nyerib-u-hyeni:h02_l10:9 malê = house | kauge-nyerib-u-sivani:s01_l09:0 malê = house | kauge-nyerib-u-sivani:s01_l09:9 malê = house	needs_review	not_reviewed
merdu	3	2	degirmenci-ve-tilki:2; goin-puhu-kusunun-hikayesi:1	merdu; mé̱rdu.; mé̱rdu.	merdu	died	degirmenci-ve-tilki:mf05_l07:7 merdu = died | degirmenci-ve-tilki:mf05_l09:0 merdu = died | goin-puhu-kusunun-hikayesi:g04_l07:4 merdu = died	needs_review	not_reviewed
ne	3	2	uc-kardes-masali:2; degirmenci-ve-tilki:1	nê; ne-; ne,	ne	now	degirmenci-ve-tilki:mf05_l03:0 nê = now | uc-kardes-masali:tb02_l02:12 nê = now | uc-kardes-masali:tb02_l16:10 nê = now	needs_review	not_reviewed
nya	3	2	kauge-nyerib-u-hyeni:2; goin-puhu-kusunun-hikayesi:1	nya; ńa; ńa,	na	not; ended	goin-puhu-kusunun-hikayesi:g03_l02:1 nya = ended | kauge-nyerib-u-hyeni:h07_l07:3 nya = not | kauge-nyerib-u-hyeni:h07_l07:8 nya = not	needs_review	not_reviewed
nyamaw	3	2	goin-puhu-kusunun-hikayesi:2; kauge-nyerib-u-sivani:1	nyamaw; ńāmaú; ńāmaú,; ńāmaú,	namau	did not come; ordered	goin-puhu-kusunun-hikayesi:g02_l12:10 nyamaw = did not come | goin-puhu-kusunun-hikayesi:g03_l11:1 nyamaw = did not come | kauge-nyerib-u-sivani:s03_l06:5 nyamaw = ordered	needs_review	not_reviewed
nyedi	3	2	uc-kardes-masali:2; goin-puhu-kusunun-hikayesi:1	nyêdi; ńédī,; ńédi.; ńédī.	nedi	did not see	goin-puhu-kusunun-hikayesi:g03_l02:6 nyêdi = did not see | uc-kardes-masali:tb07_l02:5 nyêdi = did not see | uc-kardes-masali:tb08_l02:6 nyêdi = did not see	needs_review	not_reviewed
nyesyena	3	2	kauge-nyerib-u-hyeni:2; kauge-nyerib-u-sivani:1	nyêşyêna; ńešyén’a	ne-	NEG; be able	kauge-nyerib-u-hyeni:h06_l03:2 nyêşyêna = NEG; be able | kauge-nyerib-u-hyeni:h08_l10:9 nyêşyêna = NEG; be able | kauge-nyerib-u-sivani:s05_l06:7 nyêşyêna = NEG; be able	needs_review	not_reviewed
nyezana	3	2	degirmenci-ve-tilki:2; goin-puhu-kusunun-hikayesi:1	nyêzana; ńézana; ńézāna; ńezā́na	nezana	does not know; I do not know	degirmenci-ve-tilki:mf05_l06:2 nyêzana = does not know | degirmenci-ve-tilki:mf05_l08:7 nyêzana = does not know | goin-puhu-kusunun-hikayesi:g04_l06:10 nyêzana = I do not know	needs_review	not_reviewed
rayer	3	2	uc-kardes-masali:2; degirmenci-ve-tilki:1	rayêr; rayér; rayér,	rayer	road; way	degirmenci-ve-tilki:mf05_l06:3 rayêr = way | uc-kardes-masali:tb03_l02:1 rayêr = road | uc-kardes-masali:tb03_l04:9 rayêr = road	needs_review	not_reviewed
saati	3	2	uc-kardes-masali:2; kauge-nyerib-u-hyeni:1	saati; sá’ati; sā’ati	saati	hours	kauge-nyerib-u-hyeni:h08_l09:5 saati = hours | uc-kardes-masali:tb03_l05:1 saati = hours | uc-kardes-masali:tb05_l04:3 saati = hours	needs_review	not_reviewed
temiz	3	2	degirmenci-ve-tilki:2; uc-kardes-masali:1	temiz; te̱míz	temiz	clean	degirmenci-ve-tilki:mf03_l12:8 temiz = clean | degirmenci-ve-tilki:mf03_l14:5 temiz = clean | uc-kardes-masali:tb08_l08:6 temiz = clean	needs_review	not_reviewed
tepist	3	2	degirmenci-ve-tilki:2; kauge-nyerib-u-sivani:1	tepişt; te̱píšt; te̱píšt	tepist	caught	degirmenci-ve-tilki:mf03_l02:3 tepişt = caught | degirmenci-ve-tilki:mf03_l03:4 tepişt = caught | kauge-nyerib-u-sivani:s01_l04:8 tepişt = caught	needs_review	not_reviewed
vyene	3	2	kauge-nyerib-u-sivani:2; kauge-nyerib-u-hyeni:1	vyênê; vyén’e,; vyén’e.; vién’e.	vyene; viene	see	kauge-nyerib-u-hyeni:h04_l10:3 vyênê = see | kauge-nyerib-u-sivani:s02_l10:10 vyênê = see | kauge-nyerib-u-sivani:s04_l04:9 vyênê = see	needs_review	not_reviewed
wazena	3	2	degirmenci-ve-tilki:2; gespraech-mit-hassan:1	wazêna; wazén’a.; wazén’a,; wazén’a.	wazena	I will ask for; wants	degirmenci-ve-tilki:mf02_l04:7 wazêna = I will ask for | degirmenci-ve-tilki:mf02_l06:10 wazêna = I will ask for | gespraech-mit-hassan:h04_l01:7 wazêna = wants	needs_review	not_reviewed
av	3	1	kauge-nyerib-u-sivani:3	Av; Av-	av	Avdulah-	kauge-nyerib-u-sivani:s02_l07:9 Av = Avdulah- | kauge-nyerib-u-sivani:s04_l04:10 Av = Avdulah- | kauge-nyerib-u-sivani:s05_l15:12 Av = Avdulah-	needs_review	not_reviewed
awke	3	1	degirmenci-ve-tilki:3	awkê; aúke	auke	water	degirmenci-ve-tilki:mf05_l02:9 awkê = water | degirmenci-ve-tilki:mf05_l04:2 awkê = water | degirmenci-ve-tilki:mf05_l04:10 awkê = water	needs_review	not_reviewed
bagce	3	1	gespraech-mit-hassan:3	Bağçê; Bāγt̮e; bağçê; bāγt̮e	bagte	garden	gespraech-mit-hassan:h02_l08:0 Bağçê = garden | gespraech-mit-hassan:h02_l09:1 bağçê = garden | gespraech-mit-hassan:h02_l10:0 Bağçê = garden	needs_review	not_reviewed
berar	3	1	uc-kardes-masali:3	bêrar; berár; berār	berar	brothers	uc-kardes-masali:tb01_l03:8 bêrar = brothers | uc-kardes-masali:tb01_l07:1 bêrar = brothers | uc-kardes-masali:tb02_l03:9 bêrar = brothers	needs_review	not_reviewed
birna	3	1	uc-kardes-masali:3	bırna; bi̥rná,; bi̥rnā́,	birna	cut	uc-kardes-masali:tb03_l14:10 bırna = cut | uc-kardes-masali:tb06_l02:8 bırna = cut | uc-kardes-masali:tb06_l05:1 bırna = cut	needs_review	not_reviewed
birne	3	1	uc-kardes-masali:3	bırnê; bí̥rne,; bí̥rné,	birne	slaughter	uc-kardes-masali:tb04_l07:0 bırnê = slaughter | uc-kardes-masali:tb05_l11:9 bırnê = slaughter | uc-kardes-masali:tb05_l15:4 bırnê = slaughter	needs_review	not_reviewed
bweri	3	1	uc-kardes-masali:3	bwêri; búeri	bueri	brown	uc-kardes-masali:tb03_l09:9 bwêri = brown | uc-kardes-masali:tb03_l12:9 bwêri = brown | uc-kardes-masali:tb04_l01:1 bwêri = brown	needs_review	not_reviewed
cekani	3	1	ali-agha-ladi-kelhani:3	çêkani; t̮ékāni	tekani	weapons	ali-agha-ladi-kelhani:a02_l13:6 çêkani = weapons | ali-agha-ladi-kelhani:a03_l01:11 çêkani = weapons | ali-agha-ladi-kelhani:a03_l03:3 çêkani = weapons	needs_review	not_reviewed
cende	3	1	gespraech-mit-hassan:3	Çendê; T̮é̱nde	tende	how many	gespraech-mit-hassan:h01_l05:0 Çendê = how many | gespraech-mit-hassan:h02_l06:0 Çendê = how many | gespraech-mit-hassan:h02_l13:0 Çendê = how many	needs_review	not_reviewed
ceni	3	1	goin-puhu-kusunun-hikayesi:3	cêni; d̮éni; Cêni; D̮éni	deni	woman	goin-puhu-kusunun-hikayesi:g01_l02:8 cêni = woman | goin-puhu-kusunun-hikayesi:g03_l12:0 Cêni = woman | goin-puhu-kusunun-hikayesi:g03_l15:9 cêni = woman	needs_review	not_reviewed
ersawut	3	1	kauge-nyerib-u-hyeni:3	erşawut; e̱ršau’út	ersauut	sent	kauge-nyerib-u-hyeni:h04_l07:2 erşawut = sent | kauge-nyerib-u-hyeni:h04_l07:7 erşawut = sent | kauge-nyerib-u-hyeni:h06_l02:3 erşawut = sent	needs_review	not_reviewed
esta	3	1	uc-kardes-masali:3	esta; é̱sta,; êsta; está	esta	there is	uc-kardes-masali:tb02_l07:9 êsta = there is | uc-kardes-masali:tb09_l01:8 esta = there is | uc-kardes-masali:tb09_l08:3 esta = there is	needs_review	not_reviewed
gale	3	1	uc-kardes-masali:3	ğalê; γalé; Ğalê; Γalé	gale		uc-kardes-masali:tb02_l05:3 ğalê | uc-kardes-masali:tb02_l06:4 Ğalê | uc-kardes-masali:tb02_l14:7 ğalê	needs_review	not_reviewed
gizmkari	3	1	kauge-nyerib-u-hyeni:3	ğızmkari; γi̥zmkā́ri	gizmkari	servant	kauge-nyerib-u-hyeni:h01_l05:12 ğızmkari = servant | kauge-nyerib-u-hyeni:h01_l08:1 ğızmkari = servant | kauge-nyerib-u-hyeni:h02_l07:1 ğızmkari = servant	needs_review	not_reviewed
golekangde	3	1	goin-puhu-kusunun-hikayesi:3	golêkangdê; gōlekā́ṅde,; gōlekā́ṅde; golekā́ṅde.	golekande	among the cattle	goin-puhu-kusunun-hikayesi:g02_l11:5 golêkangdê = among the cattle | goin-puhu-kusunun-hikayesi:g02_l13:2 golêkangdê = among the cattle | goin-puhu-kusunun-hikayesi:g03_l03:8 golêkangdê = among the cattle	needs_review	not_reviewed
golikangde	3	1	goin-puhu-kusunun-hikayesi:3	golikangdê; gōlikā́ṅde,; gōlikā́ṅde;	golikande	among the cattle	goin-puhu-kusunun-hikayesi:g02_l03:2 golikangdê = among the cattle | goin-puhu-kusunun-hikayesi:g02_l14:8 golikangdê = among the cattle | goin-puhu-kusunun-hikayesi:g03_l10:0 golikangdê = among the cattle	needs_review	not_reviewed
helbet	3	1	uc-kardes-masali:3	hêlbêt; helbét	helbet	perhaps	uc-kardes-masali:tb01_l07:10 hêlbêt = perhaps | uc-kardes-masali:tb02_l11:8 hêlbêt = perhaps | uc-kardes-masali:tb02_l12:0 hêlbêt = perhaps	needs_review	not_reviewed
henzari	3	1	kauge-nyerib-u-hyeni:3	hênzari; henzā́ri; henzāri,; henzā́ri.	henzari	thousand	kauge-nyerib-u-hyeni:h07_l01:10 hênzari = thousand | kauge-nyerib-u-hyeni:h08_l06:4 hênzari = thousand | kauge-nyerib-u-hyeni:h08_l06:9 hênzari = thousand	needs_review	not_reviewed
kagiti	3	1	uc-kardes-masali:3	kağiti; kaγíti	kagiti		uc-kardes-masali:tb03_l05:9 kağiti | uc-kardes-masali:tb03_l06:3 kağiti | uc-kardes-masali:tb05_l05:1 kağiti	needs_review	not_reviewed
lacim	3	1	uc-kardes-masali:3	lacim; lā́d̮im,; lā́d̮im.	ladim	my son	uc-kardes-masali:tb04_l10:6 lacim = my son | uc-kardes-masali:tb07_l13:4 lacim = my son | uc-kardes-masali:tb08_l01:5 lacim = my son	needs_review	not_reviewed
legey	3	1	degirmenci-ve-tilki:3	lêğêy; leγeí.; leγeí,	legei		degirmenci-ve-tilki:mf03_l08:7 lêğêy | degirmenci-ve-tilki:mf04_l02:6 lêğêy | degirmenci-ve-tilki:mf04_l04:6 lêğêy	needs_review	not_reviewed
mawlet	3	1	kauge-nyerib-u-hyeni:3	mawlêt; maulét; maulét,	maulet	respite	kauge-nyerib-u-hyeni:h06_l09:0 mawlêt = respite | kauge-nyerib-u-hyeni:h06_l09:12 mawlêt = respite | kauge-nyerib-u-hyeni:h06_l14:4 mawlêt = respite	needs_review	not_reviewed
meytani	3	1	kauge-nyerib-u-hyeni:3	mêytani; meitāni; meítāni	meitani	dead bodies	kauge-nyerib-u-hyeni:h09_l02:3 mêytani = dead bodies | kauge-nyerib-u-hyeni:h09_l02:6 mêytani = dead bodies | kauge-nyerib-u-hyeni:h09_l03:9 mêytani = dead bodies	needs_review	not_reviewed
mide	3	1	kauge-nyerib-u-hyeni:3	mıdê; mí̥de; mí̥de	mide	with	kauge-nyerib-u-hyeni:h01_l07:10 mıdê = with | kauge-nyerib-u-hyeni:h06_l03:6 mıdê = with | kauge-nyerib-u-hyeni:h06_l04:12 mıdê = with	needs_review	not_reviewed
misr	3	1	degirmenci-ve-tilki:3	Mısr; Mi̥sr,; Mí̥sr	misr	Egypt	degirmenci-ve-tilki:mf02_l10:3 Mısr = Egypt | degirmenci-ve-tilki:mf02_l10:6 Mısr = Egypt | degirmenci-ve-tilki:mf04_l04:0 Mısr = Egypt	needs_review	not_reviewed
muqayte	3	1	kauge-nyerib-u-hyeni:3	muqaytê; muqaíte	muqaite	on guard	kauge-nyerib-u-hyeni:h02_l07:9 muqaytê = on guard | kauge-nyerib-u-hyeni:h02_l10:5 muqaytê = on guard | kauge-nyerib-u-hyeni:h04_l03:6 muqaytê = on guard	needs_review	not_reviewed
pera	3	1	degirmenci-ve-tilki:3	pêra; perá; perá,	pera	on	degirmenci-ve-tilki:mf03_l07:10 pêra = on | degirmenci-ve-tilki:mf03_l13:3 pêra = on | degirmenci-ve-tilki:mf03_l15:6 pêra = on	needs_review	not_reviewed
pile	3	1	uc-kardes-masali:3	pilê; pī́le; píle	pile	oldest	uc-kardes-masali:tb03_l10:7 pilê = oldest | uc-kardes-masali:tb03_l13:8 pilê = oldest | uc-kardes-masali:tb10_l01:5 pilê = oldest	needs_review	not_reviewed
qamuk	3	1	kauge-nyerib-u-hyeni:3	qamuk; qā́muk	qamuk	some	kauge-nyerib-u-hyeni:h05_l03:3 qamuk = some | kauge-nyerib-u-hyeni:h05_l03:6 qamuk = some | kauge-nyerib-u-hyeni:h05_l03:9 qamuk = some	needs_review	not_reviewed
qati	3	1	degirmenci-ve-tilki:3	qati; qáti	qati	set	degirmenci-ve-tilki:mf03_l07:1 qati = set | degirmenci-ve-tilki:mf03_l10:3 qati = set | degirmenci-ve-tilki:mf03_l13:1 qati = set	needs_review	not_reviewed
rezan	3	1	kauge-nyerib-u-hyeni:3	rezan; ré̱zān.; ré̱zān.; re̱zā́n	rez	vineyard; PL	kauge-nyerib-u-hyeni:h04_l02:6 rezan = vineyard; PL | kauge-nyerib-u-hyeni:h04_l07:9 rezan = vineyard; PL | kauge-nyerib-u-hyeni:h07_l06:9 rezan = vineyard; PL	needs_review	not_reviewed
roseni	3	1	gespraech-mit-hassan:3	roşêni; rōšén’i?; rōšén’i,; rōšén’i.	roseni	we stay	gespraech-mit-hassan:h03_l04:3 roşêni = we stay | gespraech-mit-hassan:h03_l05:2 roşêni = we stay | gespraech-mit-hassan:h03_l05:7 roşêni = we stay	needs_review	not_reviewed
seysti	3	1	kauge-nyerib-u-hyeni:3	şêyşti; šeíšti	seisti	sixty	kauge-nyerib-u-hyeni:h08_l13:1 şêyşti = sixty | kauge-nyerib-u-hyeni:h08_l13:10 şêyşti = sixty | kauge-nyerib-u-hyeni:h09_l01:4 şêyşti = sixty	needs_review	not_reviewed
simsyer	3	1	uc-kardes-masali:3	şimşyêr; šimšyẹ̄́r	simsyer	sword	uc-kardes-masali:tb09_l03:5 şimşyêr = sword | uc-kardes-masali:tb09_l09:1 şimşyêr = sword | uc-kardes-masali:tb09_l10:2 şimşyêr = sword	needs_review	not_reviewed
sipyerdisu	3	1	gespraech-mit-hassan:3	sıpyerdışu; si̥pye̱rdí̥šu; Sıpyerdışu; Si̥pye̱rdí̥šu; si̥pye̱rdí̥šu.	sipyerdisu	village elder	gespraech-mit-hassan:h02_l01:2 sıpyerdışu = village elder | gespraech-mit-hassan:h02_l02:0 Sıpyerdışu = village elder | gespraech-mit-hassan:h02_l03:2 sıpyerdışu = village elder	needs_review	not_reviewed
tizi	3	1	kauge-nyerib-u-sivani:3	tızi; tí̥zi; tí̥zi	tizi	you too	kauge-nyerib-u-sivani:s02_l05:8 tızi = you too | kauge-nyerib-u-sivani:s02_l09:0 tızi = you too | kauge-nyerib-u-sivani:s03_l02:2 tızi = you too	needs_review	not_reviewed
vana	3	1	goin-puhu-kusunun-hikayesi:3	vana; vā́na; vā́na:	vana	says	goin-puhu-kusunun-hikayesi:g02_l04:8 vana = says | goin-puhu-kusunun-hikayesi:g02_l05:3 vana = says | goin-puhu-kusunun-hikayesi:g02_l07:6 vana = says	needs_review	not_reviewed
vet	3	1	uc-kardes-masali:3	vet; ve̱t; vêt	vet	took out	uc-kardes-masali:tb08_l07:3 vet = took out | uc-kardes-masali:tb08_l09:2 vet = took out | uc-kardes-masali:tb09_l07:4 vêt = took out	needs_review	not_reviewed
wesu	3	1	goin-puhu-kusunun-hikayesi:3	weşu; wé̱šu,; wé̱šu.	wesu	well	goin-puhu-kusunun-hikayesi:g02_l12:6 weşu = well | goin-puhu-kusunun-hikayesi:g03_l09:3 weşu = well | goin-puhu-kusunun-hikayesi:g03_l10:10 weşu = well	needs_review	not_reviewed
xaini	3	1	ali-agha-ladi-kelhani:3	xaini; χa’íni,	xaini	traitor	ali-agha-ladi-kelhani:a02_l13:4 xaini = traitor | ali-agha-ladi-kelhani:a03_l02:3 xaini = traitor | ali-agha-ladi-kelhani:a03_l05:8 xaini = traitor	needs_review	not_reviewed
xanceri	3	1	ali-agha-ladi-kelhani:3	xancêri; χand̮éri	xanderi	dagger	ali-agha-ladi-kelhani:a04_l01:5 xancêri = dagger | ali-agha-ladi-kelhani:a04_l02:8 xancêri = dagger | ali-agha-ladi-kelhani:a04_l05:1 xancêri = dagger	needs_review	not_reviewed
yale	3	1	uc-kardes-masali:3	yalê; yalé	yale	wheat	uc-kardes-masali:tb01_l09:4 yalê = wheat | uc-kardes-masali:tb02_l02:8 yalê = wheat | uc-kardes-masali:tb02_l16:7 yalê = wheat	needs_review	not_reviewed
yawnay	3	1	uc-kardes-masali:3	yawnay; yaúnai; yaunaí	yaunai	second	uc-kardes-masali:tb09_l04:9 yawnay = second | uc-kardes-masali:tb09_l05:6 yawnay = second | uc-kardes-masali:tb09_l11:5 yawnay = second	needs_review	not_reviewed
ageray	2	2	degirmenci-ve-tilki:1; kauge-nyerib-u-sivani:1	agêray; āgeraí; ağêray; aγeraí,	agerai	returned	degirmenci-ve-tilki:mf04_l06:8 agêray = returned | kauge-nyerib-u-sivani:s03_l08:7 ağêray = returned	needs_review	not_reviewed
arde	2	2	degirmenci-ve-tilki:1; goin-puhu-kusunun-hikayesi:1	ardê; ā́rde,; ā́rde.	arde	brought; flour	degirmenci-ve-tilki:mf05_l05:0 ardê = brought | goin-puhu-kusunun-hikayesi:g01_l02:9 ardê = flour	needs_review	not_reviewed
bedu	2	2	degirmenci-ve-tilki:1; kauge-nyerib-u-sivani:1	bêdu; bedú.; bedú,	bedu	may be	degirmenci-ve-tilki:mf04_l05:1 bêdu | kauge-nyerib-u-sivani:s04_l09:4 bêdu = may be	needs_review	not_reviewed
bersawe	2	2	kauge-nyerib-u-hyeni:1; uc-kardes-masali:1	berşawê; bē̱ršaúe; bē̱ršaúe,	bersaue	send word; send	kauge-nyerib-u-hyeni:h02_l09:9 berşawê = send word | uc-kardes-masali:tb05_l12:5 berşawê = send	needs_review	not_reviewed
beru	2	2	ali-agha-ladi-kelhani:1; kauge-nyerib-u-sivani:1	bêru; béru; bér’u.	beru	may come; carried off	ali-agha-ladi-kelhani:a01_l09:9 bêru = may come | kauge-nyerib-u-sivani:s01_l04:0 bêru = carried off	needs_review	not_reviewed
besta	2	2	kauge-nyerib-u-hyeni:1; kauge-nyerib-u-sivani:1	bêsta; bésta; bestā́.	besta	prepared	kauge-nyerib-u-hyeni:h08_l05:7 bêsta = prepared | kauge-nyerib-u-sivani:s04_l12:8 bêsta = prepared	needs_review	not_reviewed
byu	2	2	degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1	byu; byu,	byu	became; were	degirmenci-ve-tilki:mf05_l08:9 byu = became | kauge-nyerib-u-hyeni:h05_l03:4 byu = were	needs_review	not_reviewed
cawdi	2	2	ali-agha-ladi-kelhani:1; kauge-nyerib-u-hyeni:1	Çawdi; T̮aúdi; çawdi; t̮aúdi	taudi	nothing; at once	ali-agha-ladi-kelhani:a01_l03:1 Çawdi = nothing | kauge-nyerib-u-hyeni:h06_l02:10 çawdi = at once	needs_review	not_reviewed
cayki	2	2	degirmenci-ve-tilki:1; uc-kardes-masali:1	Cayki; D̮aíki; D̮aíkí	daiki	once; once upon a time	degirmenci-ve-tilki:mf01_l01:0 Cayki = once | uc-kardes-masali:tb01_l01:0 Cayki = once upon a time	needs_review	not_reviewed
cine	2	2	degirmenci-ve-tilki:1; kauge-nyerib-u-sivani:1	cinê; d̮íne; d̮īne	dine	herds	degirmenci-ve-tilki:mf03_l01:8 cinê = herds | kauge-nyerib-u-sivani:s05_l02:5 cinê = herds	needs_review	not_reviewed
citaw	2	2	goin-puhu-kusunun-hikayesi:1; kauge-nyerib-u-hyeni:1	çitaw; t̮ítau; t̮itaú	titau	why; with me	goin-puhu-kusunun-hikayesi:g03_l14:0 çitaw = why | kauge-nyerib-u-hyeni:h06_l03:7 çitaw = with me	needs_review	not_reviewed
cwa	2	2	degirmenci-ve-tilki:1; kauge-nyerib-u-hyeni:1	çwa; t̮úa; t̮ua	tua	your	degirmenci-ve-tilki:mf02_l02:6 çwa | kauge-nyerib-u-hyeni:h03_l14:1 çwa = your	needs_review	not_reviewed
dari	2	2	ali-agha-ladi-kelhani:1; gespraech-mit-hassan:1	dari; dari.; dā́ri?	dari	take out; trees	ali-agha-ladi-kelhani:a04_l11:0 dari = take out | gespraech-mit-hassan:h02_l10:3 dari = trees	needs_review	not_reviewed
